Judgement	Transcription	Linked	Comments
1	p3,00:45:56.150,00:46:55.190,spk_1,	True	Counsel: If one picks it up at paragraph six, that's page 211 in the bundle. The wife is represented in the Nigerian jurisdiction, has appeared there throughout by her Nigerian lawyers. She has apparently never taken the jurisdictional point there, that is she did not challenge the jurisdiction of the Nigerian court to determine the divorce suit and has not only acquiesced in the process but has taken positive steps in the same, for example, issuing a cross petition and obtaining orders for substituted service. Were the courts in Nigeria to come to an appropriate conclusion, she would on the facts of her own case as pleaded here, have the right to apply in the United Kingdom for permission to make an application in relation to the United Kingdom assets of the couple, and he goes on to complain that her evidence is defective. But on page 212 he says, I've come to the following conclusions as reasons for the decision I have made. And those are set out numbers one to eight.
1	p1,00:36:14.490,00:37:20.740,spk_2,	True	Counsel: How much time the elder children spent here is far from clear, but all have homes here, and the clear impression is that there is a very strong English connection. And then just skipping a paragraph, he said, in my judgement, the wife has established that it is appropriate for the English court to intervene where she has been resident here since 1999 and where I am satisfied that she will continue to make her main home here, where she has her doctor and her English state benefits. I am satisfied that she is not misleading the court with a false case, and this is an appropriate case for an order, despite the Nigerian proceedings. So, My Lords, we say that she was acquitted of of the Law Commission's main concern about foreign shopping. The Law Commission has considered that the regime that they wanted to provide for would be a flexible discretionary regime, and if I could ask you please to go back to the authorities bundle, bundle 1.
1	p3,01:01:09.910,01:02:55.430,spk_1,	True	Counsel: And then, set out in numbers 1 to 8, which echo in almost identical language the paragraphs of Section 25(2) of the 1973 Act so subject to this one difference, which I say is a more technical and formal than real difference. Namely, that the Nigerian court had no power to make ancillary -- to make a transfer of property order, that the statute under which it was operating was remarkably similar to the English statute, indeed was plainly, uh, inspired by and drawn from the English statute at some stage in its evolution. Because the language, the echo of language, can't be a pure coincidence, and that the approach of the Nigerian court was to award the wife a home for her life and a lump sum, which reflected its view of the appropriate level of capitalist maintenance in all the circumstances of the case and subject again to this one difference of the property being settled rather than transferred outright, That is exactly how English courts would approach the vast majority of cases before the decision of the House of Lords in White and White less than 10 years again. And it is quite impossible, we submit, to say that the approach of the Nigerian court was not broadly comparable to that of the English court, which we say is the correct test per M and M, when what it was doing was very, very close to what the English court would have done until less than 10 years ago.
1	p3,00:31:12.600,00:32:02.180,spk_1,	True	Counsel: The next authority in time is that of the Court of Appeal in Jordan at divider 7 where what in effect was being attempted, was to use Part 3 to enforce an order which had been made in California. But again, there are wide observations, and if we can turn to the judgment of Lord Justice Thorpe at 219, letter F, Of course, the paradigm case creating the need for the legislation was the case where the decree of the Foreign Court was entitled to recognition in this jurisdiction, but where that court did not offer any rights to financial provision either at all or alternatively on any basis comparable to the rights arising under the Matrimonial Causes Act 1973 in this jurisdiction. The opening sentences of the Law Commission report so state.
1	p1,02:26:35.080,02:27:38.300,spk_2,	True	Counsel: She said, should the husband fail to obey the orders contained here, the wife may apply to the English court for leave under Part 3 of the English Matrimonial Family Proceedings Act 1984 to seek a pension sharing order in England, comporting with this court's orders. Although the above orders do not compel action by the trustees or managers of the respective pension schemes, the court has entered the orders with the expectation that if enforcement is necessary, the English court will in effect, enforce the orders of the interests of comity under Part 3 of the English Matrimonial and Family Proceedings Act 1984, if husband is domiciled in England. So this is a good example of what we would say is the evolving nature of Part 3. You can actually have a foreign court recognising that it doesn't have the requisite powers to make the orders at once and therefore it relies on the English court to enforce its orders through invoking the powers under Part 3.
1	p1,00:02:06.220,00:06:04.260,spk_2,	True	Counsel: Yes. We saw the authors it listed in the report. The two circumstances that the Law Commissioners were addressing were these. Firstly, when a foreign court had made no financial order at all, and secondly, where the foreign court had made a financial order, but that order was inadequate. And this appeal is concerned only with the second category. It is a condition precedent to the exercise of powers under Part 3 that the wife has to show in the circumstances of her case that a serious injustice has arisen. The serious injustice that this wife relies upon is that after a marriage of 32 years, which produced five children of the family and where the assets were around £700,000, the Nigerian court in June of 2005 awarded her a lump sum of £21,000 and a life interest in the house on Tin Can Island in Lagos. This very modest award produced a very significant disparity, or discrepancy, in the allocation of the assets between the parties. The wife was left in a position in which she did not own any one of the four properties in the case, two of which were in Lagos and two of which were in London. She was only left with a life interest in the property, that it ceased to be her main home in 1999, six years before the Nigerian court had made its order. In 1999, when the marriage broke down, she came to London to live at 27 Litton Road in New Barnet, a property which the husband had owned from 1975, and which had thereafter been used as a base for the family during the marriage. The trial judge, Mr Justice Coleridge, found that these parties had a long standing and enduring connection with this jurisdiction, and on the basis that the wife forfeited her life interest in the Tin Can Island property, in her husband's favour, he made the following order under Part 3. He ordered the Litton Road be sold and that the wife receives 65% of the net proceeds of sale, which was intended on the valuation used in the proceedings to give her about £275,000, which was to be used as follows. £225,000 to buy herself a modest flat in North London, and £50,000 as a cash sum to supplement her income when she is unable to work. The wife is now aged 69. The Court of Appeal allowed the husband's appeal and dismissed the order for financial provision in Toto. As a consequence, the wife would be homeless in this country where she has been a citizen since 1972, and where she has made her home and worked as a carer for the last 10 years. The purpose of Part 3 was to remit hardship arising from the order of a foreign court. Yet, the Court of Appeal have provided an outcome which Lord Justice Ward, who gave the lead judgement candidly admitted, has left the wife in a parlous plight. In making my submissions my lords and my lady, I want to address 5 topics. The first will be the policy issues considered by the Law Commissioners, which are material to this appeal. Secondly, the statutory provisions of part 3.
1	p3,00:42:45.150,00:44:34.950,spk_1,	False	
1	p2,00:44:31.390,00:44:54.700,spk_5,	False	
1	p2,00:00:43.840,00:01:04.540,spk_2,	False	
1	p1,01:16:33.230,01:17:00.630,spk_2,	False	
