Judgement	Transcription	Linked	Comments
1	p1,00:16:24.480,00:16:45.120,spk_4,	False	
1	p5,00:19:16.640,00:21:25.500,spk_1,	False	
1	p1,00:20:40.780,00:21:04.020,spk_4,	False	
1	p2,00:29:53.430,00:30:19.610,spk_3,	False	
1	p3,00:56:00.070,00:56:33.150,spk_3,	False	
1	p1,00:19:23.450,00:20:03.410,spk_4,	True	Counsel: What I would say is this and this in is my submission, the important point, the evidence that Stronach gave via his statement evidence which came from, as it were, the dead Stronach was of a different character than all the other pieces of circumstantial evidence. It was not just a piece of circumstantial evidence like any other. By that, I mean, it was the only piece of circumstantial evidence that directly linked the accused Allison to a drug transaction.
1	p3,00:05:45.040,00:06:10.760,spk_3,	False	
1	p1,00:36:24.230,00:36:46.520,spk_4,	False	
1	p3,00:08:05.140,00:08:27.940,spk_3,	False	
1	p1,00:08:04.490,00:08:25.830,spk_4,	False	
1	p3,01:56:44.930,01:57:41.410,spk_2,	True	The Court: Well, is it? They said against you? I'm looking at paragraph 54 of the Lord Advocates case that we're looking at a maximum sentence of imprisonment which really is inherent. I think it's to be found in the Criminal Procedure Scotland Act, I may be wrong. The maximum sentence available on summary procedure prior to the amendment I'm talking about was a rule that was not special to the Road traffic act at all. It was one that applied generally to all statutory offences and examples are given in the Lord Advocate's case of statutes such as the Civic Government, Scotland Act, the protection of Wild Animals, Scotland Act, Sexual Offences, Act, and so on and so forth which are not reserved and therefore we're dealing with a statutory maximum which applies across the board to both reserved and not reserved statutory offences.
1	p5,00:15:18.820,00:16:48.780,spk_1,	False	
1	p3,00:06:41.540,00:07:10.690,spk_3,	False	
1	p2,00:28:37.330,00:29:53.140,spk_2,	False	
1	p1,00:38:45.370,00:39:39.920,spk_4,	False	
1	p2,00:33:56.430,00:35:44.540,spk_2,	True	Counsel: He again, at paragraph 85, repeats that by saying, Taking all the relevant factors together, I have reached the conclusion that in this case, the failures of The Lord Advocate's Representative to disclose information to the defence and the advocate deputy's reliance on the dock identifications of Gilchrist and Simpson were incompatible with the appellant's core Article 6 Convention Rights, taking together, they resulted in an unfair trial. So as I understand that a proper analysis of what His Lordship said, he makes it plain that it was the cumulative effect of all the factors taken together that led to the conclusion that the trial was not fair. And what I would invite this court to do is to come to the view, for purposes of clarity, for those who seek to seize upon that particular passage to which I have referred, is to come to the conclusion that His Lordship was not stipulating that the Hogg v Clark test should be used in order to determine whether there had been a miscarriage of justice or unfair trial. Rather what he was attempting to do, correctly in my respectful submission, was considering whether the non-disclosure of the outstanding charges was so unlikely to have been a practical effect that it could be left out of account all together, as opposed to whether it forms part of a cumulative evaluation. So, My Lords, in terms of My Lord and the chair's question about how this matter has come to pass, it has come to pass as a result of that particular remark by His Lordship in the paragraph to which I have referred being taken entirely out of context and applied to grounds of appeal, in particular additional evidence appeals, before the Criminal Appeal Court in Scotland.
1	p1,01:08:31.120,01:12:01.400,spk_6,	True	Counsel: On page 23 the tape explains the particular status that he has, the bottom of page 23, line 23 should be, John Stronach said is credible and reliable, and in doing so, you will have to exercise great care. You will have to approach what he said with caution, and this is for a number of reasons. First of all, it's not evidence not given under oath and explains that, and he also explains that not had the opportunity to see him being cross examined at line, 16 and 17 not tested in Line 19, His lordship said, It seems pretty clear, accepted, really at all hands by both the crown and by the defence that in the course of what he told the police, he told many lies both about what happened on the 24th of November and about other matters. Much of what he said was contradicted by the contents of surveillance logs, that should be, and the other evidence, such as the searches of his house referred to in the drug inquiry or whatever. There is, however, a passage in which in which the crown do seek to rely. And that is what he said about a man called Stevie from Abran Hill, whom he described and said that he had asked him to take the car down to Kilmarnock. And the crown suggests first that you could infer that that was a reference to the first accused and that if you took the part that you if you accepted Mr Stronach's account, the man, Stephen made an arrangement and told him to take the car rejected his qualifications that it was for the purpose of selling the car and took along with other evidence and took that along with other evidence in the case. Then it pointed to the first accused being concerned in the supply of drugs the crown suggests to you. You could find comfort for accepting that particular part of his evidence in the interview, from the evidence of Detectives Sergeant Duncan Smith to the effect that he saw the usual car in the driveway of the house about lunchtime on the day. And also, I think the Advocate Depute referred to in evidence that on the 27th of November, the first accused took the passport of John Stronach to Airdrie Sheriff Court for all the the purpose of Mr Stronach being released on bail on the charge that related to the journey to Ayeshire and that has a compelling piece of evidence as well in my submission, and indeed that there was reference to the other journey linking the appellant. And it's described of as being a spectacular coincidence by the Advocate Depute if he were not connected. And that, of course, was precisely a matter for the jury to assess. But he was not presented by the crown it's ultimately a matter for the jury was not presented as an absolutely honest and truthful man, and indeed, while is not evidence, of course of what the Advocate Depute said in his speech. The acceptance of him being a liar would my submission have carried significant weight in the deliberation of the jury and the invitation to only rely on those parts of his evidence which were supported by other evidence, was another safeguard. So it was pretty clear in my submission. This is a witness who could not be trusted, but on key parts, the Crown invited the jury to accept evidence which was capable of being looked at elsewhere in my submission that there was plainly sufficient evidence without the 259 statement and the direct link because --
1	p3,00:04:51.340,00:05:43.630,spk_3,	False	
1	p3,01:18:54.520,01:19:07.400,spk_2,	False	
1	p5,01:51:16.880,01:51:31.350,spk_0,	False	
2	p3,00:10:49.140,00:11:32.050,spk_3,	False	
2	p1,00:11:02.870,00:11:32.960,spk_4,	True	Counsel: Without being anecdotal, there is a case due to come back to the appeal court in Scotland and precisely that point. Where a key witness it has now been discovered had an outstanding charge, and the witness against him in the outstanding charge is the person who gave evidence against in the trial. Now that case is in the pipeline to come back as a reference from the Scottish Criminal Cases Review Commission. So it gives a perfect example, if I may say so of that happening.
