Judgement	Transcription	Linked	Comments
1	00:01:19.470,00:04:11.340,spk_2,	True	
1	00:12:07.820,00:12:57.660,spk_1,	True	
1	00:27:32.650,00:30:53.690,spk_2,	False	
1	00:24:52.520,00:27:30.190,spk_2,	True	
1	00:10:36.030,00:12:51.880,spk_2,	True	
1	00:49:36.040,00:52:04.810,spk_1,	True	
1	00:44:22.430,00:45:26.090,spk_2,	False	
1	00:46:38.970,00:47:43.450,spk_1,	False	
1	01:08:25.990,01:13:19.420,spk_2,	False	
1	01:13:20.440,01:18:26.090,spk_2,	True	
1	01:19:04.440,01:22:31.530,spk_3,	True	
1	01:55:47.800,01:56:59.220,spk_2,	False	
1	00:19:40.260,00:20:12.080,spk_1,	False	
1	00:47:48.190,00:49:34.740,spk_1,	True	
1	00:13:59.670,00:15:14.780,spk_1,	False	
1	00:50:41.100,00:52:05.590,spk_2,	False	
1	02:18:09.080,02:18:37.870,spk_5,	False	
1	00:33:35.250,00:36:02.070,spk_1,	True	
1	00:45:33.240,00:48:10.550,spk_2,	False	
1	01:20:35.250,01:22:01.650,spk_1,	True	
2	01:08:25.990,01:13:19.420,spk_2,	True	
2	00:49:36.040,00:52:04.810,spk_1,	True	
2	00:24:52.520,00:27:30.190,spk_2,	True	
2	01:52:34.270,01:55:07.520,spk_2,	True	
2	01:36:37.070,01:37:42.880,spk_2,	True	
2	00:59:17.080,01:04:12.400,spk_2,	False	
2	01:13:20.440,01:18:26.090,spk_2,	True	
2	00:50:41.100,00:52:05.590,spk_2,	True	
2	00:44:22.430,00:45:26.090,spk_2,	False	
2	01:19:04.440,01:22:31.530,spk_3,	True	
2	01:48:05.420,01:51:00.940,spk_2,	False	
2	02:46:36.920,02:48:09.500,spk_5,	False	
2	02:49:16.000,02:50:21.800,spk_5,	False	
2	02:58:43.800,03:00:48.500,spk_5,	True	
2	00:01:19.470,00:04:11.340,spk_2,	True	
2	00:45:33.240,00:48:10.550,spk_2,	False	
2	01:06:40.160,01:08:22.430,spk_1,	True	
2	02:42:33.790,02:44:06.490,spk_5,	False	
2	02:01:04.390,02:02:33.360,spk_2,	True	
2	00:27:32.650,00:30:53.690,spk_2,	False	
3	01:13:20.440,01:18:26.090,spk_2,	True	
3	00:59:17.080,01:04:12.400,spk_2,	True	
3	00:49:36.040,00:52:04.810,spk_1,	True	
3	01:52:34.270,01:55:07.520,spk_2,	True	
3	00:48:57.720,00:50:39.970,spk_2,	True	
3	01:08:25.990,01:13:19.420,spk_2,	True	
3	01:48:05.420,01:51:00.940,spk_2,	True	
3	02:46:36.920,02:48:09.500,spk_5,	False	
3	01:36:37.070,01:37:42.880,spk_2,	True	
3	00:45:33.240,00:48:10.550,spk_2,	True	
3	00:25:24.590,00:30:27.190,spk_1,	True	
3	01:44:09.870,01:47:18.530,spk_2,	False	
3	01:07:14.550,01:08:25.020,spk_2,	True	
3	00:44:22.430,00:45:26.090,spk_2,	True	
3	00:24:52.520,00:27:30.190,spk_2,	True	
3	00:13:15.140,00:14:55.280,spk_2,	True	
3	02:29:18.690,02:32:25.190,spk_2,	True	
3	01:43:08.690,01:46:04.310,spk_5,	True	
3	00:14:56.870,00:19:20.530,spk_2,	True	
3	02:42:33.790,02:44:06.490,spk_5,	False	
4	01:52:34.270,01:55:07.520,spk_2,	True	
