Judgement	Transcription	Linked	Comments
1	p1,01:05:37.750,01:07:34.720,spk_0,	True	Counsel: My Lord, I wouldn't -- obviously say that it wasn't important. I said that is the reason we are here because otherwise there would be no issue. The introduction is made the 10th of September, and it refers to the trust established as you would have seen earlier under Section 3 of the ordinance with its registered office, is that Islamabad and Dallah my clients and the introduction says the trust is interesting in leasing reliable housing facilities and whereas Dallah owns adequate, appropriate real estate and the Clause 1 is the obligation of Dallah to develop and construct the necessary accommodation. Clause 2 is important. The total least value of the land area of 22,000 square metres and the total construction cost of the housing it is computed at respectively. 210 million, 135 million aggregating $345 million out of which the trust shall pay a lump sum of $100 million to Dallah by way of advanced lease payment within 30 days from the date of the execution of this agreement by the parties subject to Dallah arranging through one of its affiliates a U. S dollar 100 million financing facility for the Trust against a guarantee of the Government of Pakistan Dallah submitting it to the trust performance put Bond and then a counter guarantee issued by the Trust and Al Baraka Investment appointed by the Board of Trustees in favour of the government of Pakistan. So, in order for this to get on the off the ground, the trust has no money. It borrows the money from Dallah but before Dallah is prepared to lend the money it has to have a guarantee from the government.
1	p2,01:53:22.740,01:53:45.270,spk_2,	False	
1	p1,00:55:26.710,00:57:47.980,spk_0,	True	Counsel: This is a letter from Mr Naqvi to the Secretary Ministry of Religious Affairs. This is after the trust has come into existence, and it says further to our various discussions, I'm pleased to set forth below the implementation schedule covering the provision of pilgrims housing in Mecca. And there, then there are proposals set forward, and if you go over the page payment plans, we are proposing two options by which the government could take these buildings from us and the first stop, the following agreed assumptions have been utilised in order to develop the payment plan and a number of the first plan. Number three a down payment of $100 million from the government of Pakistan has been assumed Dallah will arrange for the lane. So in the first option, the government itself is putting forward the money against alone. Then there's a plan A advanced rent plan B partial formulae, 12,000 pilgrims will be free for the government of Pakistan and the government of Pakistan will pay us 395 per pilgrim and then legal issues. In order to comply with the legal requirements of the various entities involved. The structure will be as follows the government to set up the trust Trust will borrow from Albaraka Trust will make the down payment trust will enter into the lease in order to provide the government maximum flexibility. We would propose that the government retained the following two options. The government has the right for a period of five years to develop housing on the remaining land, and the government has a right to buy the lease outright during the 1st 10 years at a price of 345 million, minus the event already paid. So you will see then it is clearly the negotiations with the government. The structure will involve the trust and one sees that again at page 115 moving along in the year. It's not a very easily legible document, I'm afraid.
1	p1,00:23:58.340,00:25:04.270,spk_0,	True	Counsel: This was a high level government project, and it involved not only senior members of the government but involved meetings with the prime minister. Dallah is a part of the Dallah Group. And it's been involved in the formation of holy places in Saudi Arabia for over 80 years, providing services for pilgrims visiting Mecca and is the largest provider of such services in Saudi Arabia. An important piece of background information is that in the context of what happened here is that Dallah has for a number of years been one of the largest lenders doing business with the government of Pakistan. It's been an active provider of Islamic finance to the government for to the tune of some $365 million in the five years before the agreement, and it's therefore established a relationship with members of the government and the proposal was put forward. And you see that just for your note paragraphs 55 to 58 of Mr Nafis' witness statement.
1	p6,00:02:05.140,00:02:26.390,spk_2,	False	
1	p1,00:05:55.910,00:08:20.215,spk_0,	True	Counsel: This has a much wider implication, that was the only point I was making at the state. My Lord, as Your Lordship knows, but just for the benefit, perhaps, of those behind us. The case concerns enforcement of a unanimous ICC arbitration award rendered in Paris by an eminent international tribunal, comprising Lord Michael Mustill, Dr Nassim Hasan Shah, former chief justice of Pakistan, and Dr Ghaleb Mahmassani, who's a Lebanese lawyer who was the chair. In 1995, Dallah, my clients proposed to the government of Pakistan the idea of providing housing in Mecca for pilgrims performing hajj. This in due course led to a memorandum of understanding on the 24th of July 1995 made between Dallah and the government and later on the 10th of September 1996 to the agreement the subject matter of this appeal. The agreement was on its face, stated to be made between Dallah and the trust, a state entity. The respondent, the government of Pakistan was not a signatory to the agreement, nor was it named as a party. Had it been, we would not be here today, the first issue before the tribunal and the focus of the English proceedings concerned whether or not the government was a party to the arbitration clause in that agreement. The tribunal found on the law and on the facts that it was. It subsequently found the government to be a party to the underlying agreement and in Dallah's favour on liability and awarded it 18,900,007 odd dollars in damages. Together with costs, the government did not waive jurisdiction before the arbitral tribunal and has asserted sovereign immunity. If, however, it is found to be a party to the arbitration agreement, it is deemed by virtue of Section 9 of the State Immunity at 1978 to have waived its immunity in relation to the arbitration proceedings that is different from enforcement against assets. Dallah obtained leave to enforce the award as a judgment of the English court. This was challenged by the government under Section 103(2)(b) of the 1996 Act. The basis of the challenge being that it is not valid under the law to which the parties subjected it or failing any indication thereon under the law of the country where the award was made.
1	p1,00:35:15.460,00:38:35.260,spk_0,	True	Counsel: Can I just take you to the agreement? Because before I do so, let me just take you to a letter of the 18th of July. Page 28 which indicates that the Cabinet had approved in principle in December the proposal for the establishment of the trust. I think that's all you need to know about that at this stage, and it will over the page. The intention is to establish a separate fund known as the savings and investment fund. We then go to the memorandum of agreement, which is referred to, but I think it's easier to read it in full and that's a page 30 and this is dated the 25th, fourth, of July 1995. It's made between the president, the Islamic Republic of Pakistan and Dallah, and Clause 1 requires Dallah to acquire within the Holy City lands necessary for the development and construction of the housing facilities sought by the government. For Pakistan pilgrims while performing hajj and umrah is more specifically described in the schedule, its Clause 2 sets out, the cost of the land and the housing facilities to be constructed thereon. Clause 3, upon the completion of the housing facilities, Dallah shall demise and lease them to the government along with the land. And the government should take the said facilities and land on such lease for a term of 99 years, subject to Dallah arranging the necessary financing for the government on terms approved by the government in accordance with the provisions of this agreement and then four within 30 days of the execution here of Dallah shall prepare and submit to the government for its approval the terms and conditions of the proposed lease and the detailed plan for financing of the same. Approval and acceptance of the lease and the financing plan by the government will be communicated in writing to Dallah. The date of receipt of such approval by Dallah will be the approval date, where such approval and acceptance is not conveyed by the government. Within 90 days of so admission of terms and conditions of the proposed lease and detailed financing plan by Dallah, the government or the government conveys its disapproval or non acceptance of such terms and conditions and finance sink plan. No liability of claims will be incurred by either party. Five, the least financing to be arranging organised by Dallah as per the approved finance plan will be secured by the borrower designated by the government under the sovereign guarantee of the government, within 60 days, Dallah should prepare and submit detailed specifications and drawings of the housing facilities based on the requirements of the government and within 24 months from the date that the government improve approves the specific occasions and drawings. Dallah will develop construct complete in all respects and hand over vacant possession of the housing facilities to the government upon execution and registration of the lease and then, if you could jump kindly to clause --
1	p2,00:03:38.650,00:05:36.730,spk_1,	False	
1	p2,00:48:30.630,00:51:57.500,spk_1,	True	Counsel: It is indeed. And this is from Walter Martin [inaudible] acting for the Government, Your attention is invited to your notice at the 29th of May, in respect of the above matter where our client is required to file its answer to the request for arbitration within 30 days. We wish to bring to your notice that our client has filed legal proceedings in Pakistan, which are pending in the court of Civil Judge First Class Islamabad and are fixed for hearing on the 13th of June 1998. The learned Judge has been pleased to grant an interim injunction pertaining to the dispute. Copy of the court order is attached for your information. And then draw attention to Section 35 of the Arbitration Act, No reference or award shall be rendered invalid by reason only the commencement of legal proceedings on the subject matter of reference, but when legal proceedings on the whole of the subject matter of the reference has been commenced between all parties to the reference, notice there are the arbitrator or umpire, all further proceedings in a pending reference shall, unless estoppel proceedings is granted, under Section 34 be invalid. In this section, the expression, parties to the reference, including any person claiming under any of the parties and litigating under the same title. And the point that, perhaps, is obvious in which the Tribunal made from this is of course, this is the first response to the request. It nowhere says that the respondent is not a party to the Agreement. What it says is we now have an injunction obtained, as it was, without notice from the Government, please do not go on with the arbitration. The next document is the next page, which is the 15th of August. The same lawyers also to the ICC, referring to two further notices, We wish to bring your kind notice that our client has already declined to submit to the jurisdiction of the International Court of Arbitration. It may also be brought into your kind notice that our client does not and shall not submit to the jurisdiction of the ICC. Inter alia the following reasons. There's no contract or arbitration agreement between our parents and Dallah. The contract and arbitration agreement referred to by the claimant were entered into by the claimant, and the Trust. The Trust has already ceased to exist after expiry of the Ordinance. Clause 27 of the contract provides that the Trust may assign or transfer its rights and obligations to the Government without the prior consent in writing of Dallah. The Trust never assigned or transferred its rights and obligations. Contract was entered into and executed in Pakistan and under well established principles of law it's governed by the laws of Pakistan, hence the Arbitration Act is not applicable. Any award passed by the ICC will not be enforceable, being against the public policy and laws of Pakistan. Under Pakistan law, the application of the Protocol on Arbitration Clause's is limited to contracts which are considered as commercial under the law enforced in Pakistan. The contract in question was entered into for religious purposes to provide housing facilities to Pakistan pilgrims. Therefore, the laws of Pakistan don't recognise the protocol and arbitration clauses. Our client never agreed to make a submission to arbitration, and unilateral submission to arbitration by the claimant alone doesn't constitute actual submissions under the laws enforced in Pakistan.
1	p5,00:04:49.890,00:06:46.890,spk_0,	False	
