start,end,speaker,text
00:00:20.420,00:00:44.070,spk_0,"All rise. Austin v Mayor and Burgesses of the London Borough of Southwark. Mr Luba,"
00:00:45.180,00:01:10.260,spk_1,"could I mention before you begin a matter of timing. We ask that the court should sit at 10 o'clock tomorrow morning. What we proposed to do is to sit on until lunchtime tomorrow. Maybe there's a reasonable chance of actually finishing by lunchtime and that would be convenient for various reasons, if that could be achieved. But I hope it doesn't inconvenience counsel too much if we sit at 10."
00:01:11.170,00:01:17.020,spk_2,"Absolutely not. I'm grateful to My Lord and we are all at the bar of the indication of having coming in advance. So we've made the necessary arrangements."
00:01:17.030,00:01:18.290,spk_1,"Thank you very much, indeed. Thank you."
00:01:19.470,00:04:11.340,spk_2,"My Lords. My Lady, In this matter, I appear with Mr Desmond Rutledge for the Appellant Mr Barry Austin, the Respondent, Southwark London Borough Council is represented by my learned friends Mr Drabble, Queen's Counsel, and Mr Shaw Kelly. My Lords and and My Lady will have seen that we have identified five issues on which we would invite the attention of this court and I propose to deal with them in the sequence set out in the agreed statement of facts and issues starting with issue one, which might probably be described as the tolerated trespass question. The question posed for this court by issue one is whether the possession order made against him ended the late Mr Allen Austin's tenancy or whether, in the alternative, he was at the date of his death, still the tenant of the council. That's the issue to which the first of the matters on this appeal goes. May I start on that issue very briefly with the possession order itself, which is the operative instrument that is to be found in the appendix at page 5. May I before coming to its terms, simply put it in its procedural context. The court will recall that 52 Michael Faraday House, described in in the first paragraph of the order on page 5, is a one bedroom council flat, which was let to Mr Allen Austin in July of 1983. The possession claim, which led to the making of the possession order on page 5, was brought under the claim form at page 3 in June 1986. So he's been a tenant for a little under three years by the time the claim was brought. As page 4 indicates the initial possession proceedings were adjourned over to this hearing on the 4th of February 1987 when the order for possession was made. In a departure from other methods of recording court proceedings, there is no indication on the form of order as to whether the defendant attended the hearing. The form used, I'm afraid that the court can only just see this from the bottom left hand side, is the standard template form N28, suspended order for recovery of land, which was the form required under order 22 of the old county court rules, where an order for recovery of possession was to be suspended."
00:04:11.720,00:04:13.410,spk_0,"Is it the form currently in use?"
00:04:13.470,00:04:25.310,spk_2,"No, My Lord, it's not. The form currently in use is substantially different, not least in that the form currently in use provides for a date on which possession is to be delivered up."
00:04:25.320,00:04:30.800,spk_1,"Lord Neuberger I think referred to that didn't he? A form that have been designed differently."
00:04:30.900,00:05:20.710,spk_2,"Indeed, My Lord, what what happened was that the form was twice revised after the making of this order in 1987, it was first revised in 1993 when provision was made for the addition of a date, and it was further revised in 2001. Part of the reason for all the recent attention to the tolerated trespassing question was that in 2006, the Court of Appeal decided that the form in use since 2001 had in fact been in order for outright possession rather than suspended. And that meant that vast numbers of people who had not been thought to be tolerated trespassers had been since 2001."
00:05:21.250,00:05:22.350,spk_1,"That was the Harlow case."
00:05:22.360,00:05:23.500,spk_2,"That was My Lord, yes."
00:05:24.670,00:05:26.680,spk_3,"This looks like a forthwith with possession."
00:05:27.040,00:05:27.790,spk_2,"Indeed it does, My"
00:05:27.790,00:05:28.380,spk_1,"Lady."
00:05:29.080,00:05:40.690,spk_2,"And as we shall see in just a few moments, Lord Justice Millet, as he then was, thought that the Court of Appeal might have interpreted in Tomthson v Elmbridge this form of order as it were being an outright order for possession."
