session,start,end,speaker,text
p1,00:00:19.340,00:00:22.460,spk_0,All rise.
p1,00:00:26.840,00:00:27.800,spk_1,[Background noise]
p1,00:00:38.340,00:00:38.550,spk_2,[Background noise]
p1,00:00:40.870,00:00:41.860,spk_3,Hearing the appeal
p1,00:00:41.870,00:00:43.380,spk_1,Office of communications against
p1,00:00:43.380,00:00:44.610,spk_4,the Information Officer.
p1,00:00:45.540,00:00:45.860,spk_2,
p1,00:00:46.540,00:01:09.640,spk_1,"My Lords' I appear today, Mr Chowdhury, for the appellant, the information commissioner and Miss Rose, together with Ms Collier and Mr Potter appear for the respondent Ofcom. And My Lords' will know that this case raises a short but important point concerning the proper interpretation of Regulation 12(1) of the environmental information regulation."
p1,00:01:09.650,00:01:11.830,spk_2,Is this a case for a reference?
p1,00:01:13.640,00:02:19.610,spk_1,"It may ultimately be a case for reference if the following two hurdles are not crossed. If your Lordships' are content that our construction of the domestic regulations is correct as a matter of domestic law, then no reference need arise because Recital 20 of the directive and General Principles of Community Law would allow us to go if you like further than the directive. Were your Lordships' to be against us on the question of the construction of the domestic regulations as a matter purely of domestic law, then your Lordships' would have to look at the directive because we say the directive not only permits but requires the interpretation that we adopt. And in that situation, if your Lordships' and your Ladyship was satisfied that it was clear that the directive means what we say it means. Then again, there would be no requirement for a reference. But if your Lordships' were against this on domestic law and were not satisfied that the director was clear in the way that we would say clear, then your Lordships' would be under duty under Section 234234 sub Article 3 of the Treaty of Rome to make a reference."
p1,00:02:19.620,00:02:33.920,spk_2,Is there not a middle position where we would find it quite difficult to decide which side is right? I mean that's a situation where it's really not out clear. We can't be absolutely certain one way or another. If
p1,00:02:33.930,00:03:09.150,spk_1,"your Lordship reaches the view that the case turns on the interpretation, that directive, and if your Lordship reaches a view that is not act clear in either direction, then Your Lordship would have to refer. If, however, you are satisfied that as a matter of purely domestic construction, the regulations mean what we say they mean, then your Lordships' need not make a reference because the directive contemplates that we could if we wish to go further as a matter of domestic law and that set out in Recital 20 which is in Tab five. I don't know if you look at the director. Okay,"
p1,00:03:10.040,00:03:11.830,spk_2,you can
p1,00:03:11.830,00:03:23.870,spk_1,"on this analysis on this hypothesis, we would be making it easier for individuals get access or more difficult for the public access. And if you want to go to a bigger part of 24"
p1,00:03:23.990,00:03:25.860,spk_2,20 doesn't seem to be on the point at all.
p1,00:03:26.960,00:03:28.500,spk_1,"24. My Lord, it's my mistake."
p1,00:03:29.340,00:03:29.480,spk_2,The
p1,00:03:29.480,00:03:35.680,spk_1,provisions of this directive shall not affect the member state to maintain or introduce measures providing for broader.
p1,00:03:36.390,00:03:41.850,spk_0,That's consistent with the word May in Article 4. Member states may provide means they
p1,00:03:42.420,00:03:42.860,spk_1,have to
p1,00:03:43.470,00:03:44.080,spk_0,the
p1,00:03:44.080,00:04:17.450,spk_1,"recital set out policy, and that was My Lord Lord Month with respect that it's a permissive thing. So we could in fact, do what is permitted by Article 4 and also we could have even more limited restrictions if we wished so. As a matter, you also need to decide this as a matter of domestic law first, and if we are right on domestic law, then that is the end of the matter. If, however, your Lordships' are concerned that we are wrong with the matter of domestic law, Then your Lordships' do need to consider Is the direct impact player in the way that we say it is?"
p1,00:04:20.140,00:04:20.350,spk_0,Okay
p1,00:04:22.540,00:04:23.010,spk_4,here.
p1,00:04:23.170,00:04:24.660,spk_0,Could the court of Appeal have referred?
p1,00:04:25.640,00:04:29.690,spk_1,They had a discretion. After 34 to their discretion. Your lawyers have a duty
p1,00:04:30.070,00:04:30.520,spk_2,to consider.
p1,00:04:31.020,00:04:51.360,spk_1,"They did consider a number of things, including Regulation 12(4). But I'm not criticising the Court of Appeals court and there's a lot of things to do. But they didn't consider reference, and they didn't. They don't certainly recording the judgement. I wasn't obviously present in the court of appeal, and they don't seem to look at the relationship. Regulation 12(4) and Regulation 12(5)."
p1,00:04:52.040,00:04:52.240,spk_3,"Yeah,"
p1,00:04:52.840,00:04:56.260,spk_1,"but they have a discretion. Your lawyers have a duty, will be well aware."
p1,00:04:57.340,00:04:57.550,spk_2,Okay.
p1,00:04:57.940,00:04:58.150,spk_4,
p1,00:04:58.940,00:06:14.320,spk_1,"subject to any further questions about the reference I shall summarise the appellant submissions on the question of construction and then turn in more detail to the regulations and to the directive. In brief as your Lord of the leadership known, the regulations oblige public authorities to make environmental information available on request. Regulation 12 provides for a limited exception to that duty, namely, a public authority may refuse to disclose environmental information if an exception in Regulation 12(4) or (5) applies, and if the public interest in maintaining the exception outweighs the public interest in disclosure. In the submission of the Appeal. Oh, if an exception is relied upon as justifying nondisclosure, the proper approach is to consider. First, is that exception applicable? And second, if so, does the public interest in maintaining the exception outweigh the public interest in disclosure? Can"
p1,00:06:14.330,00:06:34.070,spk_0,"I'm sorry to interrupt. Can I just go back to your starting point? You're asking us to construe the English regulations in the abstract? Are you without any European background? I question that. Surely, in order to the likelihood"
p1,00:06:34.070,00:06:34.610,spk_2,is
