session,start,end,speaker,text
p1,00:00:19.640,00:00:28.840,spk_0,All rise. Yeah.
p1,00:00:39.140,00:00:39.560,spk_1,Okay.
p1,00:00:43.740,00:00:44.760,spk_2,Yes.
p1,00:00:46.640,00:00:46.820,spk_1,Good.
p1,00:00:46.820,00:01:57.330,spk_2,"Good morning, my lords and my lady, with my learned junior Miss Eleanor Harris. I appear on behalf of Mrs Agbaje, the appellate. My learned friend, Mr Timothy Scott QC and Mr Peter Mitchell appear on behalf of Mr Agbaje, the respondent to the appeal. If I may, I will have adopt the Family Law convention of calling the parties husband and wife. The principal issue arising on this appeal is in what circumstances is it appropriate for the English court to make a further financial order when a foreign court has already divorced the spouses and made a financial order? At first blush, it may seem unusual that courts in two different countries can at different times, make financial orders arising out of the same cause of action, namely the parties divorce. The power in English court to make a further financial order derives from Part 3 of the Matrimonial and Family Proceedings Act 1984. And it was intended by its framers, the law commissioners, to remit financial hardship arising from two distinct circumstances."
p1,00:01:57.330,00:02:06.210,spk_1,I suppose I should make it absolutely plain that this is the work of my predecessor at the Law Commission. I had no hand in Part 3 at all.
p1,00:02:06.220,00:06:04.260,spk_2,"Yes. We saw the authors it listed in the report. The two circumstances that the Law Commissioners were addressing were these. Firstly, when a foreign court had made no financial order at all, and secondly, where the foreign court had made a financial order, but that order was inadequate. And this appeal is concerned only with the second category. It is a condition precedent to the exercise of powers under Part 3 that the wife has to show in the circumstances of her case that a serious injustice has arisen. The serious injustice that this wife relies upon is that after a marriage of 32 years, which produced five children of the family and where the assets were around £700,000, the Nigerian court in June of 2005 awarded her a lump sum of £21,000 and a life interest in the house on Tin Can Island in Lagos. This very modest award produced a very significant disparity, or discrepancy, in the allocation of the assets between the parties. The wife was left in a position in which she did not own any one of the four properties in the case, two of which were in Lagos and two of which were in London. She was only left with a life interest in the property, that it ceased to be her main home in 1999, six years before the Nigerian court had made its order. In 1999, when the marriage broke down, she came to London to live at 27 Litton Road in New Barnet, a property which the husband had owned from 1975, and which had thereafter been used as a base for the family during the marriage. The trial judge, Mr Justice Coleridge, found that these parties had a long standing and enduring connection with this jurisdiction, and on the basis that the wife forfeited her life interest in the Tin Can Island property, in her husband's favour, he made the following order under Part 3. He ordered the Litton Road be sold and that the wife receives 65% of the net proceeds of sale, which was intended on the valuation used in the proceedings to give her about £275,000, which was to be used as follows. £225,000 to buy herself a modest flat in North London, and £50,000 as a cash sum to supplement her income when she is unable to work. The wife is now aged 69. The Court of Appeal allowed the husband's appeal and dismissed the order for financial provision in Toto. As a consequence, the wife would be homeless in this country where she has been a citizen since 1972, and where she has made her home and worked as a carer for the last 10 years. The purpose of Part 3 was to remit hardship arising from the order of a foreign court. Yet, the Court of Appeal have provided an outcome which Lord Justice Ward, who gave the lead judgement candidly admitted, has left the wife in a parlous plight. In making my submissions my lords and my lady, I want to address 5 topics. The first will be the policy issues considered by the Law Commissioners, which are material to this appeal. Secondly, the statutory provisions of part 3."
p1,00:06:06.240,00:06:21.860,spk_1,"Mr Dyer, you said, when you began that it was a condition precedent to the exercise of these powers that a serious injustice would otherwise occur. Does that appear in the statutory provisions?"
p1,00:06:22.440,00:06:23.850,spk_2,"No, it appears in the report."
p1,00:06:24.940,00:06:27.250,spk_1,"Yes, but it's not in the statute, is it?"
p1,00:06:27.250,00:08:01.450,spk_2,"It's not, it's quite safe. In fact, as I will develop in due course, the language in the statute does not express such a hard test to satisfy, as the Law Commissioners said they wanted to provide for. It's a somewhat unusual feature of the statute, although subsequent cases, particularly the Court of Appeal, have construed it very restrictively. The third matter I would like to address is how part 3 should be applied. Fourthly, why the Court of Appeal was wrong, which would incorporate responding to learned friends printed case as he is seeking to rely on the judgement of the Court of Appeal. And finally, I would like to conclude briefly with why the appeal should be allowed. So if I if I may start with the policy issues considered by the Law Commissioners, could I ask you please to take authorities bundle volume one, where you will find the Law Commission report, behind tab 1. Tab 1 comprises of the Commissioner's report, which is quite short, followed by a drafted bill which became Part 3."
p1,00:08:01.450,00:08:02.760,spk_1,
p1,00:08:03.340,00:08:30.960,spk_2,"And then, at page 75, the working paper, and the working paper is the main body of the Law Commissioners work, and the recommendations that it made were accepted by the Law Commissioners in their report. And as a result of that, they framed the draft bill which was incorporated into Part 3."
p1,00:08:33.240,00:08:36.320,spk_0,Was it incorporated unamended or with any changes?
p1,00:08:36.630,00:08:46.280,spk_2,"Yes, yes, it was. There are a few things that are different. The layout is different. But no substantial changes."
p1,00:08:46.290,00:08:46.650,spk_0,No.
p1,00:08:48.540,00:10:26.380,spk_2,"Okay, if I could just refer you please to the very first paragraph, just to set the background as to why the Law Commissioners were involved, and they succinctly state in paragraph 1.1, where a marriage is terminated by foreign proceedings in which no financial order is made, a court in this country has no power to grant financial relief. In recent years, there has been a steady stream of cases coming before the courts, which has both highlighted the gap in the law and illustrated the hardship to which it may give rise. The view is that the law is in need of reform has been widely expressed. The obvious case, or what was known as the paradigm case for reform, was where the foreign jurisdiction had made no order at all in favour of invariably the wife applicant. But there were other cases which caused the Law Commission some concern because there were cases where a spouse had either not made an application for financial relief in the foreign court, even though she could have done so. Or, as in this case, she had made an application to the foreign court and obtained an order which she perceived as being inadequate. And this was a matter that the Law commissioners considered. And if I could ask you please to turn to page 91 in the working paper, paragraph 27 they pose the"
p1,00:10:26.390,00:10:27.300,spk_1,specific
p1,00:10:27.300,00:20:34.350,spk_2,"question. Should there be a bar in cases where the foreign court has or could have made an order? The difficulties in the way of reform of the law are thus formidable. They are most acute in cases in which the wife could have applied for financial relief in the country where the divorce was granted, but either failed to do so or did so, but obtained an order which she regards as inadequate. Correspondingly, the difficulties are least acute in cases where the law of the country where the divorce was granted contained no provision for financially relief in favour of the wife. We think there is little doubt that a wife who is thus unable to obtain any financial relief, should, provided she can establish a sufficient link between the marriage and this country, be eligible to apply for a financial order here. But we have had to consider carefully whether the power we propose for the English court to hear applications for financial relief, notwithstanding the existence of a prior foreign decree of divorce, should be exercisable only in such cases and not in cases where the foreign court had made, or could have made a financial order. We are, however, in no doubt that such a rigid restriction would be inappropriate. Our primary reason is that, as we have seen, the country in which the divorce was granted may well not be one with which the marriage has much real connection, but there are also subsidiary arguments which seemed to us to support the view that a restriction of this kind would be undesirable. First, injustice could occur if the foreign divorce court, having dealt with part of a wife's claim for financial relief, could not or would not make any order in relation to capital assets in England, and the English court were precluded from making any order because of the foreign court's order. And my lords and my lady, we say that that really strikes at the very heart of this appeal because in the Nigerian court, the position was that they could not make an order to transfer Litton Road to the wife, and nor would they make any order for her to have a settlement of that property either. And as you will see when we go on to look at the statute, the Law Commissioner's view that there should be no restriction was actually enshrined in the statute, specifically in section 13(2), where the statute says that you can make an application, notwithstanding that the foreign court has made an order for financial provision. The foundation of Part 3 was based on the Law Commissioner's view that a foreign court which had granted the divorce was not necessarily the only court to deal with all issues arising from the divorce, and they came to this decision for for two reasons. First, they recognise the increasing international mobility, which meant that a marriage and the spouses can have connections with more than one jurisdiction and one legal system. Where they married, where they are domiciles, where they are nationals, and where they have lived during the marriage, pre and post separation, and where their assets are located, give them a connection with more than one jurisdiction. And if I could ask you, please, to look at paragraph 27 which is the preceding paragraph to the one that I just referred to, and just starting from the second sentence, it reads. In a world of pure legal analysis, it would no doubt be possible to identify a single system of law with which the marriage was more closely connected than any other. That system could then be regarded as the proper law of the marriage. As such, it would govern the marriage and its consequences. We do not, however, think that this aim can in practise, be achieved at a time when people can travel easily from one country to another. Marriages are increasingly connected with several different systems of law, for example, with the law of the party's nationality or the law of their place of residence, the place where the marriage was celebrated, or even with the law of their religion. In our view, it is unrealistic to suppose that a process of juristic analysis will identify any single right system of law to which all questions relevant to a particular marriage should be referred to the exclusion of all other systems. In this particular case, although it is right to say that during the marriage the parties spent most of their married life in Nigeria, they have a longstanding and enduring connection with this country. This case is a very good example, we say, of the sort of category of case that the Law Commissioners were considering in paragraph 27. There is no right or obvious jurisdiction to resolve all matters that arise in this case, and it's interesting perhaps, to make the point that both parties had jurisdiction to issue a petition for divorce in Nigeria, and in England. That shows the the connection. It is difficult when you look at the background to the case, which I'll come to a bit in more detail in the moment, it's difficult to identify any aspect of the party's lives that did not have a connection with England, from the very beginning. They met here, married here, and the husband still owns two properties here. They are dual nationals, and perhaps the most striking feature of the case, from a financial point of view, is that 75% of the parties' wealth is not in Nigeria, but it's in England. The second reason for the Law Commission as rejecting the principle that only one court should decide all financial matters consequent on divorce, was that the commissioners recognised that an injustice could arise when the foreign court had made an order which was inadequate and produced a serious injustice. This inadequacy could arise in a number of different ways. First, the foreign court might not have extensive powers to make financial orders. It might be only able to make orders for maintenance, as opposed to orders for lump sum or, as we have in this country, property adjustment. Secondly, the foreign court might not have the power to make orders in respect of property, especially immovable property outside its territorial jurisdiction. This meant that a property in England would be outside the ambit, or could be outside the ambit of a foreign order. And also lastly, of significance in this particular case, is that foreign courts do not necessarily have the range of orders that courts can exercise in this country. The range of orders might be very limited, as was the position here where the Nigerian court, it is common ground, only has power to order a settlement of property and not an order for property adjustment, which transfers the ownership of property from one spouse to another. Also underlying the Act was the Law Commissioner's concern about the financial burden that could be thrust on the public purse, if the effect of the foreign order made inadequate provision, and that is referred to not only in the report but also in the working paper. If I could just ask you please to turn back in tab 1 to page 2, it's the second page of the Commissioner's report. They were dealing with a situation where no order had been made by the foreign court. I'm just reading four lines down from the top of page 2. Such a woman may thus face destitution, and her only source of financial support may be supplementary benefit, and if benefit is paid to her, the supplementary benefits authorities will have no legal right to recover the sums paid from the husband, since he will no longer be a 'liable' relative. The fact that the husband lives in this country and has substantial assets here makes no difference to the legal position. And that concern about being a drain on the public part is also a factor in this case because as a result of the Court of Appeal decision, the wife has been deprived of the means to provide a modest property for herself. And if she wants to remain living in London, where she has lived for the last 10 years, she will have to apply for local authority housing, and I will develop this point in due course."
p1,00:20:35.840,00:20:37.960,spk_0,Are any of the other members of the family in this country?
p1,00:20:38.340,00:20:52.860,spk_2,"Yes, my lord. Yes. There are five children of the family. The youngest child is living in New York. The four eldest children all have properties in London."
p1,00:20:53.440,00:20:54.260,spk_3,They live here.
