session,start,end,speaker,text
p1,00:00:19.830,00:00:42.890,spk_0,All rise.
p1,00:00:43.450,00:00:45.020,spk_1,Hearing of Alison v Her Majesty's.
p1,00:00:45.030,00:00:45.580,spk_2,Advocate.
p1,00:00:46.290,00:00:46.730,spk_3,[Background noise].
p1,00:00:54.350,00:01:37.610,spk_2,"Mr. Jackson, we're proposing to hear Allison first. I hope that's convenient to everybody. And what we'll do is we'll hear the entire argument in Allison. And then that having been completed, we'll pass onto McInnis. And I suggested that council who are in Allison's case should be in the front row and for obvious reasons, McInnis in the row behind. Yes, it seems to be a very large measure of agreement between you and the Lord Advocate."
p1,00:01:40.650,00:01:43.270,spk_4,[Inaudible] almost no disagreement at all.
p1,00:01:44.360,00:02:23.370,spk_2,"Well, there are two basic points I would have thought the first was whether there was a failure to disclose material which should have been disclosed. And that's accepted that the outstanding charges should have been disclosed. And I think it's accepted that the court below went too far in just dismissing the outstanding charges is something which could not possibly have any importance. And then there's a question whether the devolution issue and that's accepted, Mr. Prentice, I think, isn't it? So there we are and the question really is disposal, isn't it? And that's what we do next. I mean what I do next is turn over four pages [inaudible] [laughing]."
p1,00:02:27.200,00:02:41.960,spk_3,"I mean, I know it's really largely, How would you exactly? I think there is some question as to exactly what the relevance of outstanding charges are on how one would put the test."
p1,00:02:41.970,00:02:52.720,spk_4,I would not put the test any differently than My Lord Roger has outlined in the case of McDonald.
p1,00:02:53.520,00:02:55.820,spk_2,Should we look at the case then just to see exactly what the proposition is.
p1,00:02:55.820,00:03:04.350,spk_4,"Because that in my submission sums it up, if I may say so fairly well. And that is a tab 10 and the volume of authorities and"
p1,00:03:04.360,00:03:05.150,spk_5,paragraph 50.
p1,00:03:08.420,00:03:15.190,spk_2,Is this a joint volume? A single volume?
p1,00:03:15.200,00:03:17.300,spk_4,"Yes, just a single volume of authorities."
p1,00:03:17.310,00:03:17.950,spk_2,Yes.
p1,00:03:19.440,00:03:19.820,spk_6,[Background noise].
p1,00:03:28.010,00:03:28.510,spk_0,Paragraph --
p1,00:03:28.510,00:03:29.380,spk_2,what did you say? 50?
p1,00:03:29.390,00:03:30.900,spk_4,"50, five zero."
p1,00:03:36.030,00:03:36.650,spk_3,Yeah.
p1,00:03:41.350,00:03:54.310,spk_4,"And reading just at the top of the page into paragraph 50. As the appeal court pointed out in the present case, and these decisions, the judges use slightly different expressions"
p1,00:03:54.380,00:03:54.710,spk_6,to
p1,00:03:54.710,00:03:58.230,spk_4,describe the nature of the material that has to be disclosed.
p1,00:03:59.110,00:03:59.360,spk_2,I
p1,00:03:59.370,00:04:18.660,spk_4,do not regard those verbal variations as being of any significance. I would respectfully agree with that I tried to list all the ways that the test has been described. Sometimes it's a risk of real prejudice. It's described in a host of ways but I would agree with the statement that these
p1,00:04:18.670,00:04:19.829,spk_2,different
p1,00:04:19.829,00:04:28.900,spk_4,ways of putting it all come to the same thing. And My Lord goes on to say all the expressions are designed to describe the same obligation.
p1,00:04:29.880,00:04:30.110,spk_2,The
p1,00:04:30.110,00:04:43.470,spk_4,"Golden Rule Court described by Lord Bingham of Cornhill and R v H and C, has the advantage of encapsulating both the positive, negative, possible negative effects of material on the crown's case."
p1,00:04:43.760,00:04:44.120,spk_0,And it's
p1,00:04:44.120,00:04:47.020,spk_4,possible positive effect on the defence case.
p1,00:04:47.910,00:04:48.440,spk_5,Put
p1,00:04:48.440,00:05:05.930,spk_4,"shortly, the crown must disclose any statement or other material of which they are aware and which either materially weakens the crown case or materially strengthens the defence case. Now, with respect, I can't find a better way of putting it."
p1,00:05:06.250,00:05:24.450,spk_3,"It's nice of you to say so, Mr Jackson, but really getting slightly different. What supposed you've got this material? The outstanding charge. What can you do? What exactly can you do? Because I think that's raised a little bit."
p1,00:05:25.360,00:05:32.990,spk_4,I'm not sure what My Lord means by what could I do with it? I can certainly answer why I think it was important.
p1,00:05:33.680,00:05:35.150,spk_3,That's probably the same points.
p1,00:05:35.160,00:06:06.690,spk_4,"The reason I was distinguishing there is the question is raised as to how one deals with it. But I take the view that there is no direct case this has happened. If you're dealing with, as it were, a dead witness, then you couldn't put the previous convictions to that witness. But nevertheless, it would be relevant to bring them out in certain circumstances. So you would just by some other method an extract conviction or whatever you would place before the jury that he had those convictions."
p1,00:06:06.700,00:06:19.610,spk_2,What would the relevance be? The court put it in paragraph 20 judgement we have in the bundle of volumes.
p1,00:06:19.610,00:06:20.230,spk_4,I understand.
p1,00:06:22.080,00:06:39.310,spk_2,Thank you. Lord Osborne I think he's making a point that individuals charged with a crime are innocent until proven guilty we can't assume from the fact that there are outstanding charges that he was guilty.
p1,00:06:39.310,00:06:46.520,spk_4,"That, I suppose, is their argument for saying that outstanding charges are not material which should be disclosed."
p1,00:06:47.450,00:06:48.010,spk_2,But
p1,00:06:48.010,00:07:01.280,spk_4,"we have, I think, got past that in that this court has decided in a number of cases, and that's what we're in agreement on. And that's where My Lord began with me that outstanding cases should be disclosed."
p1,00:07:02.140,00:07:05.490,spk_3,"Yes, but the point remains exactly what do you do with them?"
p1,00:07:05.800,00:07:06.550,spk_4,What value would they have?
p1,00:07:06.740,00:07:08.990,spk_3,"Yes, that's I think what's My Lord was asking."
p1,00:07:09.020,00:07:31.090,spk_4,"I would answer that by that needs to be applied to the facts and circumstances of a particular case. One can imagine various ways in which they might matter. For example, they could provide a motive for someone cooperating with the police. That would not be an uncommon situation"
p1,00:07:32.790,00:07:33.320,spk_2,where
p1,00:07:33.320,00:07:42.660,spk_4,"someone with outstanding charges is of the view that if they cooperate with the police or as it were, gives someone else"
p1,00:07:42.670,00:07:43.430,spk_3,"up,"
p1,00:07:44.110,00:08:02.000,spk_4,"then it might go in their favour at some later proceedings. It also can simply go to the question as to whether or not this is a person that one can properly and easy rely on as a truthful, credible"
p1,00:08:02.000,00:08:02.800,spk_2,witness.
p1,00:08:04.490,00:08:25.830,spk_4,"So to use the old cliche, it goes to credibility. In general terms, it goes to credibility, but in more particular terms. In some cases, it might be demonstrating the motive. So the question as to whether or not it matters has to be looked at doesn't matter in that particular case."
p1,00:08:26.430,00:08:27.430,spk_3,"I mean,"
p1,00:08:27.440,00:08:29.060,spk_4,And that's always the difficulty.
p1,00:08:29.070,00:08:49.010,spk_3,"Yeah, I mean, if one we're dealing with someone just in a private capacity, one's attitude to him or her might change. If one knew that there was an outstanding charge of fraud against him or her even if it hadn't been yet approved taking into account,"
p1,00:08:49.020,00:08:53.910,spk_4,"You wouldn't still buy the used car, even although they were innocent technically of the crime."
p1,00:08:54.000,00:08:56.090,spk_3,You would certainly think twice. You
