session,start,end,speaker,text
p1,00:00:46.450,00:01:33.370,spk_0,"Hearing the appeal for Dallah Real Estate and Tourism Holding company against the Ministry of Religious Affairs, Government of Pakistan.
Yes Ms Heilbron. Your Lordship, I appear for the appellant Dallah Real estate and Tourism Holding company with my learned friend Klaus Reichert. Mr Toby Landau and Mr Patrick Angenieux appear for the government of Pakistan. My Lords', as you will have seen from our case, this appeal raises issues which go to the very heart of the effectiveness of the New York Convention. The increasing use of international arbitration as an attractive alternative method of dispute resolution, compared to litigation, emanates in large measure from the success of the New York Convention 1958. It has been described as one of the most successful international conventions ever promulgated."
p1,00:01:33.760,00:01:34.030,spk_1,And it
p1,00:01:34.030,00:01:42.280,spk_0,now has 144 signatories. The facility with which awards under the New York Convention can be
p1,00:01:42.290,00:01:55.730,spk_2,"enforced. Can you just stop for a moment? Because I seem to be missing a substantial part of my papers. I'm not quite sure what has happened. Your written case and various other things. There's so many bundles. I'm very sorry to interrupt you, but I really want"
p1,00:01:55.730,00:01:55.790,spk_0,to -- well we apologise for so many bundles.
p1,00:02:09.640,00:02:12.410,spk_2,It's not these. No it's not them. I found them. Thank you very much. I
p1,00:02:12.420,00:03:54.116,spk_0,"was commenting on the facility with which awards can be enforced under the New York Convention is the key to such success trumping the often more difficult process of enforcement of judgments internationally and as Your Lordships' will have seen. This is the only the second reported case since England incorporated the New York Convention in the 1975 act, where an English court has refused to enforce a New York convention award under Article 51 of the Convention. The case has huge international implications as it signals whether the practice of the English courts in relation to enforcement matches its stated pro enforcement stance. The Court of Appeal decision and the decision below have attracted considerable interest and criticism from around the world. The English attitude to arbitration was until the 1996 act, somewhat out of line with other countries. That act was a major shift towards harmonisation of arbitral procedures and a less intrusive role for the courts, though it did not adopt the model law in every respect. Today we are considering only part of that act, namely those section's which incorporated the New York convention. I find myself in this appeal in a somewhat unusual position in that if I look ahead to Lord Saville in front of me, I see the author of the act And If I Look to My Left to Mr Landau, I see a drafter. So I hope that those gentlemen known far more about the ideology of the act than I do will bear with me as I proceed to analysed. I don't think you want to"
p1,00:03:54.116,00:03:58.436,spk_3,"make that assumption in my case, because for some years I've been engaged on something completely different."
p1,00:03:59.856,00:04:06.986,spk_0,"Indeed, My Lord. But in any event, I hope you will bear with me as I go through the relevant parts of the act."
p1,00:04:06.996,00:04:09.776,spk_2,"But in the end of the day, we take the language of the Act"
p1,00:04:09.926,00:04:10.186,spk_0,As
p1,00:04:10.886,00:04:12.506,spk_2,that is really what it comes to
p1,00:04:12.506,00:04:20.702,spk_1,"You mentioned there's been a lot of international writing, are you able to just give us the tab numbers in the authorities bundles or don't we have that here."
p1,00:04:20.782,00:04:48.380,spk_0,"Well the international writing about the case, there was one we put in in the case, the blog, but it's more commentary from feedback from people one talks to in the international world than specific article's they have. There is my learned junior has another article, which we haven't put in the bundle, but there are article's that is"
p1,00:04:48.380,00:04:49.050,spk_2,the --
p1,00:04:50.040,00:04:52.620,spk_0,The Parents Journal of international arbitration.
p1,00:04:52.940,00:05:09.200,spk_2,"And it's been referred to in a very recent book on the Arbitration Scotland Act, which is not precisely the same but in a book has just been published, the cases referred to both before the before Mr Justice [inaudible] in the Court of Appeal. It"
p1,00:05:09.200,00:05:14.260,spk_0,"is referred to quite frequently, and it's obviously been referred to in other cases in other countries."
p1,00:05:14.270,00:05:16.380,spk_2,Who is the author of the Paris Journal?
p1,00:05:17.200,00:05:25.480,spk_0,"It is. That's the new journal, that's just come out, the Paris New Journal. It's the Paris New Journal the editors are Charles Kaplin and Orrick"
p1,00:05:25.930,00:05:27.190,spk_2,"The, the author of the article. There are two article's --"
p1,00:05:32.640,00:05:33.950,spk_1,We're going to get copies of those are we.
p1,00:05:36.240,00:05:55.070,spk_0,"But I was only making the point at the outset. Not that I would necessarily adopt their criticisms in whole or part of something that I will, but simply to indicate the importance of the case, not just so many cases before Your Lordship has national implications, but this has a much wider implication."
p1,00:05:55.070,00:05:55.190,spk_2,And
p1,00:05:55.910,00:08:20.215,spk_0,"that was the only point I was making at the state. My Lord, as Your Lordship knows, but just for the benefit, perhaps, of those behind us. The case concerns enforcement of a unanimous ICC arbitration award rendered in Paris by an eminent international tribunal, providing Lord Michael Mustill, Dr Nassim Hasan Shah, former chief justice of Pakistan, and Dr Ghaleb Mahmassani, who's a Lebanese lawyer who was the chair. In 1995, Dallah, my clients proposed to the government of Pakistan the idea of providing housing in Mecca for pilgrims performing harsh. This in due course led to a memorandum of understanding on the 24th of July 1995 made between Dallah and the government and later on the 10th of September 1996 to the agreement the subject matter of this appeal. The agreement was on its face, stated to be made between Dallah and the trust, a state entity, the respondent. The government of Pakistan was not a signatory to the agreement, nor was it named as a party. Had it been, we would not be here today, the first issue before the tribunal and the focus of the English proceedings concerned whether or not the government was a party to the arbitration clause. In that agreement, the tribunal found on the law and on the facts that it was. It subsequently found the government to be a party to the underlying agreement and in Dallah's favour on liability and awarded it 18,000,900,7000 odd dollars in damages. Together with costs, the government did not waive jurisdiction before the arbitral tribunal and has asserted sovereign immunity. If, however, it is found to be a party to the arbitration agreement, it is deemed by virtue of Section 9 of the State Immunity at 1978 to have waived its immunity in relation to the arbitration proceedings that is different from enforcement against assets. Yes, Dallah obtained leave to enforce the award as a judgement of the English court. This was challenged by the government under Section 103(2)(b) of the 1996. This basis of the challenge being that it is not valid under the law to which the parties subjected it or failing any indication there on under the law of the country where the award was made and"
p1,00:08:20.215,00:08:21.495,spk_1,it's the latter part and
p1,00:08:21.495,00:08:24.125,spk_0,it's the latter because the agreement did not have any choice of
p1,00:08:24.125,00:08:24.435,spk_2,"law,"
p1,00:08:26.420,00:08:52.820,spk_0,"Mr Justice Aikens, as he then was, after a full rehearing, set aside the leave to enforce the award given by Mr Justice Clark coming to a different conclusion on the facts, applying French law to that of the tribunal and his decision was upheld by the Court of Appeal. My Lord, with that very brief introduction, I would now like if I may to turn to the facts, My Lord, given that some 80% page's."
p1,00:08:53.135,00:08:57.895,spk_2,"We have quite a complete account of it in your written case, which we've all been able to read."
p1,00:08:57.955,00:09:47.585,spk_0,"What I would like to do, My Lord, with the greatest respect my learned friends had spent 80 page's, including appendices on the facts. Obviously, the underlying facts are of importance, and it's, for example, not easy for Your Lordships' to understand it. If, for example, you're not taking to the full agreement. So what I would like to do is to tell, take you as briefly as I can through the facts, because they are critical to the underlying submissions that we're going to make. One can't make the submissions in a vacuum without you actually having seen them and just reading them. Although you've seen the agreed statement of facts, you've seen the two slants, in my submission, it will be easier for you. Just see some of the documents conscious that, in one sense, a tedious process. But my submission, it's an essential process."
p1,00:09:47.595,00:09:50.845,spk_2,But if you could use your case as a template as it were. I will. And
p1,00:09:50.855,00:10:05.885,spk_0,"I'm basically in my submissions, if it is of any assistance, will be going through it in the order of my case, though not verbatim to the case, obviously, because I will be taking account of points made against me in my Mr Landau's."
p1,00:10:05.895,00:10:30.890,spk_1,"Yes, what is the basic message or theme which you're going to ask us to be, considering when we're looking at the facts? Is it that the courts below just dead wrong to disagree with the arbitrator, arbitrators or what? Is that the purpose of the review of the facts or what is the purpose?"
p1,00:10:30.900,00:10:48.920,spk_0,"Well, I think several purposes. First of all, the both the tribunal and the court considered the test of common intention. I'll come in a moment to the difference between transnational law and French law, which is an issue I have to deal"
p1,00:10:48.920,00:10:49.310,spk_2,with.
p1,00:10:49.640,00:11:59.940,spk_0,"But when you are looking at the common intention, one has to take away one's natural instinct is an English lawyer, and one looks at the test of the intention of the parties from the beginning to the end, looking at their behaviour objectively to determine the subjective intention and the purpose of taking you through it is to indicate well, first, the tribunal got it right. But if I am wrong in that to show that there were two that it was not this was a case where it was possible to give different interpretations, but primarily that when you were looking at the award, as we will do, and I will be asking to place emphasis on that, that, inherently, the tribunal got it right. And therefore, when you're looking at reviewing an award when you have a fully reasoned award, which on its face stands up, considerable weight ought to be given to that. And the English court should not be trying to reinterpret documents where there's no new, actual, no new evidence."
p1,00:11:59.950,00:12:08.450,spk_2,"Can I take it that you'll be going and answering the various points that Mr Landau house as to why, he says the tribunal got it wrong. He's got the list, and you deal with that."
p1,00:12:08.460,00:14:05.850,spk_0,"I will do my best. So, My Lord, before I do that though, I would just like to reiterate briefly the French test, which I said in a sentence a moment ago. For your note, the summary of French law is set out in paragraph 49 of our case at page's 20, starts at paragraph 49, page's 22 to 25 a more detailed exposition is that paragraph's 85 to 96 of Mr Justice Aikens judgement. But if I can just paraphrase it and I hope there is a little between us on this, essentially in order to determine whether an arbitration clause upon which the jurisdiction of an arbitral tribunal is founded extends to a personal party who is neither a named party nor a signatory to the underlying agreement containing that clause, it's necessary to ascertain whether all the parties to the arbitration proceedings had the common intention, whether express or implied, to be bound by the agreement and hence the arbitration agreement. Or, to put it another way, that the non signatory was aware of the arbitration clause and accepted its terms. Under French law, this common intention is determined in the light of the facts of the case, starting at the beginning of the chronology and going on to the end looking at the facts in the round, including considering the involvement and behaviour of all the parties during the negotiation, performance and, if applicable, termination of the underlying agreement, and the court seeks to ascertain the subjective intentions of the parties through their objective conduct. In other words, if you behave as a party, that is objective, an objective piece of conduct that can be deemed to indicate that you intended to be a party."
p1,00:14:05.910,00:14:07.590,spk_3,If both parties have to
p1,00:14:08.680,00:14:09.310,spk_0,"yes,"
p1,00:14:09.330,00:14:10.580,spk_3,satisify the intention.
p1,00:14:10.590,00:14:11.540,spk_0,"Indeed, indeed."
p1,00:14:11.540,00:14:14.760,spk_2,Is it suggested transnational law leads to any different conclusion?
p1,00:14:15.620,00:14:27.120,spk_0,We say no. But points are taken on it by my learned friend as to whether or not it makes a difference. And I'm going to come to that and explain in our submission it doesn't.
p1,00:14:27.590,00:14:29.870,spk_1,What date are you looking at? Intention?
p1,00:14:30.960,00:14:37.800,spk_0,"Well, you're looking at intention under French law the whole period, you're not looking at it at a particular date."
p1,00:14:37.810,00:14:43.060,spk_1,Does that mean you've got to have the intention throughout the whole period of the contract?
p1,00:14:43.070,00:14:43.890,spk_0,No.
p1,00:14:43.900,00:14:45.230,spk_1,"What if,"
p1,00:14:45.900,00:14:46.510,spk_0,what
p1,00:14:46.510,00:15:10.800,spk_1,"if you came to the conclusion that there was never any intention to be party to the contract throughout its course, but, subsequent date a party had indicated or said something, which, on the face of it, the belief that they were a party of the agreement."
p1,00:15:10.810,00:15:16.430,spk_0,That is highly relevant under French law and that would be sufficient in our submission. But without
p1,00:15:16.430,00:15:24.240,spk_1,"any although the contracts past, there's no reliance on that. No detriment, no consideration, no cause."
p1,00:15:24.380,00:15:50.450,spk_0,"You have to look at it in our submission one of two ways. You can either look at it as to the involvement of the government throughout. But if you were nonetheless to take the view that the government had not expressed an intention early on, but later expressed an intention, for example, in the process of the termination, to become a party that in our submission under French law is sufficient."
p1,00:15:50.990,00:15:59.340,spk_1,"Without any sort of reliance or cause, or quid pro quo, where one thing"
p1,00:15:59.370,00:16:41.390,spk_0,"it's a question of what the parties, if by the government's behaviour it indicated that it intended to become a party to that agreement that under French law, in our submission, is sufficient. There was some cross examination of the hearing because our our expert witness indicated that there was perhaps something slightly different format of French law called adhesion. But under cross examination he accepted that the test throughout was the question of common intention and the only difference would be as to when that party intended to become a party,"
p1,00:16:41.470,00:16:43.890,spk_3,"both parties have to intend it at the same moment, do they?"
p1,00:16:45.130,00:16:49.160,spk_0,I'm not sure both parties necessarily have to intend it at the same moment.
p1,00:16:49.170,00:17:01.240,spk_3,"If A intend it up to up to date A and then no longer intends it and B intends it between date A and B, but A never intend it between date A, there would be not good there, will it?"
p1,00:17:01.300,00:17:13.620,spk_0,"I think, in that situation. But in our submission, our clients intended it throughout. We were pointed to the evidence, and it is our submission that the government was involved throughout. But even if we're wrong,"
p1,00:17:13.620,00:17:15.030,spk_3,involves not the same thing is it?
p1,00:17:15.290,00:18:05.150,spk_0,"The government were involved and intended to be a party throughout. But even if we're wrong on that and and you will see both the tribunal and the courts or Mr Justice Aikens, the most critical thing, as I'm sure you've read in the case, was what happened at and around the end of the performance period because this contract was only in existence for three months. And therefore how it ended, who ended it, and uh, who intended to be a part of that point is quite critical. So but just to emphasise it is sufficient for my purposes, for the tribunal to find that it was at the end, only that the"
p1,00:18:05.450,00:18:06.320,spk_1,government
p1,00:18:06.330,00:18:35.250,spk_0,"became a party and what you will see when we go through it when we go through the award, and the judgement is that to an extent, both the court and the tribunal were of the view that although there were factors early on, it was what happened around the time of the refusal to re-promulgate the ordinance, which effectively meant that the trust the judge went up in smoke happened, which was critical to both decisions."
p1,00:18:35.260,00:18:51.110,spk_2,"The judge made it clear, I think, in paragraph 105, for example, that he was going through the chronology from beginning to end. Yes, that's what he said. That's the task, he said himself. You saying he didn't actually carry it through to the end?"
p1,00:18:51.480,00:20:03.480,spk_0,"I don't think there's any dispute that the judge applied. The judge applied the right test in the sense that he used the right test was his application of the facts to the fret using the French test, which is the difference between the way the tribunal did it and the way he did it. I'm not criticising his formulation of the French law. But what I am saying is that applying French law, the test of common intention, which, as Lord Colin says, is the same and transnational law, the test of common intention, both in effect, applied the same test. But when looking at the facts of the case, the judge took a different view largely on one letter from the tribunal. And what we say is in those circumstances where there's no new evidence, one has to look very carefully as to whether an English court is right in coming in and completely effectively ignoring. Although obviously read the tribunal's decision coming to a different conclusion on the facts of that case"
p1,00:20:03.490,00:20:14.050,spk_3,"on this part of the case, it's just a question of fact. It's got nothing to do with the future international arbitration at all. It's just a question of how you apply the agreed principles of French law to the facts, isn't it? Well,"
p1,00:20:14.050,00:20:15.330,spk_0,it has more with respect.
p1,00:20:15.800,00:20:20.060,spk_3,"We're just regurgitating the same old cases the third time around, at least, must be the fourth time round if we count the tribunal."
p1,00:20:21.100,00:20:56.750,spk_0,"I have to do it for two reasons. One, my learned friend has spent so much time only in fairness to my clients, I must, with respect, deal with it. But secondly, it is relevant because it's relevant when you are considering, when we get to the first main issue, which is the extent of the view. One of the considerations that the court will have to have is what what is the weight should be given to the award, and you can only understand the weight to be given to that award when you see the award having seen the facts on which"
p1,00:20:56.840,00:20:59.210,spk_3,I suppose the answer is the appropriate weight depending upon the circumstances.
p1,00:21:00.520,00:21:01.950,spk_0,Well - can I just
p1,00:21:00.520,00:21:01.950,spk_0,
p1,00:21:01.950,00:21:54.330,spk_1,"I just put one point because it goes to your the point we've just been discussing about when the intention is relevant. It seemed to me reading the award and that it was actually decided on the basis that the inquiry was as to the intention throughout. The award says such behaviour shows and proves the defendant has always been and considered itself a true party to the agreement and it said the defendant has been in actual fact the party that was involved in the negotiation, implementation and termination of the agreement with the claimant. From the first day that the housing project was contemplated until after the repudiation of such agreement. This was and remains true before, during and after the existence of the trust. So their conclusion was based on an overall assessment of"
p1,00:21:55.260,00:21:55.500,spk_0,if
p1,00:21:55.500,00:21:59.680,spk_1,"you like, common intention, that's paragraph 12.2 on page 422."
p1,00:21:59.690,00:22:11.250,spk_0,"Yes, if you go on to paragraph 13. Of course, they do say, certainly many of the factors of the above mentioned factual elements, if isolated and taken into a fragmented way may not be construed as sufficiently."
p1,00:22:11.260,00:22:18.340,spk_2,It was. I thought it was the joint opinion of French experts that you do look from the beginning to
p1,00:22:18.340,00:22:32.020,spk_0,"the yes, yes. But they were cross examined as well because there was live testimony from both French experts. But there wasn't a great deal between them in the end. But there were one or two issues."
p1,00:22:32.130,00:22:41.440,spk_2,"You're going to go into the facts. And if I may, My"
p1,00:22:41.440,00:23:25.550,spk_0,"Lord, as I explained it in the case, it was -- what I will do in order to endeavour not to burden you with too many documents. I will simply state the facts, some of which I think are non contentious insofar as,  I want you to look at a particular document. I will ask you to do what I might do just at this stage is ask you kindly to take up bundles C and D. C are the documents and D(10) is a statement of Mr Knapp, who is a director of Sama holdings, and effectively negotiated on behalf of the appellant's."
p1,00:23:26.180,00:23:28.950,spk_2,Can we put away from time being A and B?
p1,00:23:28.960,00:23:32.810,spk_0,"Yes, I think, for the moment, to C and D."
p1,00:23:52.120,00:23:52.750,spk_2,"Yes,"
