session,start,end,speaker,text
p1,00:00:19.340,00:00:24.360,spk_0,All rise.
p1,00:00:33.940,00:00:44.250,spk_1,Bringing the appeal I (a child) --
p1,00:00:46.640,00:01:22.190,spk_2,"Before we begin, can I just say two things? First of all, about timing. You may have had the impression that we were going to sit at 2.15 after the short adjournment. I don't know whether that's right, but we proposed to sit at two o'clock as usual and rise again at four. The other thing is that I understand that some names have appeared when they shouldn't have done on websites and so on, just to be perfectly clear an anonymity order is to be made today to make it plain that the details of parties names are not to be released. I hope there's no objection to that. We simply proposed to make the order."
p1,00:01:22.230,00:01:23.480,spk_0,There is no objection My Lord.
p1,00:01:23.480,00:01:24.610,spk_2,Thank you very much.
p1,00:01:24.610,00:01:33.050,spk_0,"Thank you very much. My Lord, may I introduce to representatives? Yes. I appear on behalf of the appellant mother, together with My learned friend Mr Edward Devereux who sits immediately to my left."
p1,00:01:34.140,00:01:34.440,spk_2,The
p1,00:01:34.450,00:02:05.760,spk_0,"father is represented by my learned friends Miss Alison Russell QC and Miss Divya Nichols. The children, the child who appears via children's guardian, is represented by my learned friend Miss Charlton, who sits to my far right and the intervener given permission to intervene in this appeal by your Lordships by the court last week is represented by my learned friends Mr Henry Setright QC  and Mr Teertha Gupta."
p1,00:02:07.040,00:02:23.100,spk_2,"We were proposing to hear the intervener after everybody else has spoken, is that convenient? I think unless anybody objects, it seemed to us we'd rather have all the arguments deployed because the intervener is taking a neutral position as we understand and"
p1,00:02:23.110,00:02:23.900,spk_0,I think
p1,00:02:23.900,00:02:31.750,spk_2,"it might make more sense for us to be able to put questions to the intervener once we've heard both sides of the argument. But if anybody objects, please say so."
p1,00:02:31.760,00:02:33.570,spk_1,"No, there is no objection. Thank you."
p1,00:02:33.580,00:02:34.060,spk_2,Thank you.
p1,00:02:35.840,00:03:58.090,spk_0,"The court will be aware that this is an appeal against an order of the Court of Appeal dated the 21st of July. Dismissing an appeal against the decision of his honour Judge Barlett, sitting as a judge of the family division whereby he held the court did not have jurisdiction to entertain applications under the Children Act for orders assessing and defining contact between our client, the mother and the parties' only child, Q, who is now aged nine years of age. Permission was granted -- it was refused to appear, permission to appear was refused by the Court of Appeal but granted by this court, I think on the 28th of September. Could I just my Lord mention one or two preliminary matters? First of all, we are extremely grateful to the court for accommodating this case, this appeal so quickly. Of course, as a children's case, it is a matter of some urgency. I hope the Lord will permit me just in particular, thank the court staff particularly I name Mrs Demanbro for the assistance that they particularly she have given us over the last few weeks in the unusual circumstances in which we found ourselves. And it's a credit to the court that they were able to provide that assistance despite or the other demand on their time in"
p1,00:03:58.090,00:04:07.160,spk_2,"the last few weeks. I think it's a mutual process. I think we're very pleased by the way parties have brought the case before us, and the case has been nicely presented. So we're very grateful."
p1,00:04:07.840,00:04:12.270,spk_1,"I'm sure we will pass on your kind words to Mrs Demanbro, who seems to have left us."
p1,00:04:14.640,00:04:14.870,spk_2,She
p1,00:04:14.870,00:04:58.850,spk_0,"was here a moment ago. She's behind you. Unfortunately, inevitably, my lord, there are, as a consequence of the speed there are one or two errors and omissions. Perhaps the most important, although it's not that important, is that I noticed last night that an out of date version, Your Lordships may have spotted it, an out of date version of the Family Law Act 1986 is included in the papers at Tab 10 and I'm going to ask your usher if you could just distribute -- have they been distributed? The document you have there, that's the up to date version, and in particular you will see, that on page two"
p1,00:04:59.340,00:04:59.580,spk_2,the
p1,00:04:59.580,00:05:59.690,spk_0,"jurisdiction, Section 2 at the bottom is in the current form, and I am sorry my Lord, about that. The intervener was given permission to intervene last week, and their case was produced to us last night. I understand to the court this morning. I should perhaps just mentioned if I may my Lord, not for the for the benefit of the court but for those in court, you may be puzzled by our attire that we are not wearing robes, not, that has nothing to do with the speed with which this case has been listed. But because or may I say, for the record, that we are appearing without robes with the court's permission for reasons that I could elaborate upon if required, just to say that it seemed to be having visited the court 10 days ago, that this would be more comfortable and appropriate. So we are trying it out with Your Lordship, with the court's permission."
p1,00:05:59.700,00:06:06.050,spk_2,We are definitely content and the nature of the proceedings lends to this form of dress.
p1,00:06:06.050,00:07:34.810,spk_0,"There's some, of course, controversy at the bar about this generally. I'm not setting any precedent by addressing the court in this fashion. Could I just I'm sure the papers are in order, broadly speaking, say, for one or two errors. But could I just establish the court should have, first of all, a core volume which comprises particular case the respondent's case, you know, it's for people, etcetera. The papers are in a pastoral blue colour, and the authorities, in a pastoral green colour the appendix is divided into two where the key documents of the papers in the case of part one, other documents part two and the authorities are in three volumes tabbed, continuing through from, in our in our copies from 1 to 49. 48. And I understand that the interveners documents, which I haven't myself seen, follow on 49 onwards, is that right? I was proposing my Lord briefly to outline the facts of this case, not going much beyond what set out in the statement of facts, which appears at tab, the second tab in the core binder. But would that be of assistance to the court?"
p1,00:07:36.640,00:07:45.380,spk_2,I think it's important to identify the date at which proceedings are said to have begun proceedings in which we're involved. Perhaps you could do that for us?
p1,00:07:45.460,00:07:49.680,spk_0,"My Lord, as we go through I'll see if I can identify that date for the court."
p1,00:07:49.770,00:07:52.410,spk_1,Doesn't seem to me to be entirely straightforward.
p1,00:07:52.420,00:08:25.390,spk_0,"No. Yeah, well, perhaps we can reach a decision about that as we go through my Lady. The mother is 40 years old, originates from India, is a British citizen. The father is a little younger, originates from Pakistan, but also British citizenship. And the parties were married in 1999. Q, the only child of the party was born on the 27th of July 2000, therefore nine years old and is a British citizen. The parties separated in 2002 and subsequently divorced. Both parties have now remarried."
p1,00:08:28.040,00:08:28.180,spk_2,The
p1,00:08:28.180,00:09:23.270,spk_0,"matter concerning Q first came before the court in care proceedings in 2001 after he was found to sustain a number of fractures. And those proceedings took an unusual course, but I don't propose to dwell on them at any at any length. District Judge Brass, as he then was, after a contested hearing, found that the injuries were non accidental and that they have inflicted by the father. That's a judgement which we haven't got the tab numbers. I'm sorry to say, my Lord, so I'll give you some of these as we go through that appendix part two tab 21, 29th of May. But seven months later, at another hearing, after hearing further evidence, the District Judge reversed that finding and held that the mother, not the father, had been responsible for causing those injuries that appendix part 2 tab 22. Now the mother continues to deny --"
p1,00:09:23.270,00:09:24.350,spk_1,What is his jurisdiction to do that?
p1,00:09:25.240,00:09:27.160,spk_0,Is the jurisdiction do that -- what is the justice to do that?
p1,00:09:30.240,00:09:31.650,spk_1,Side issue.
p1,00:09:32.240,00:09:49.210,spk_0,"The answer, My Lady, is it is always I would venture to suggest is always open to a court in the exercise of their discretion in care proceedings to review findings of fact. It was -- well, that was, I can say the subject of an appeal, as you see."
p1,00:09:49.220,00:09:49.750,spk_2,Yes.
p1,00:09:49.940,00:10:08.770,spk_1,"My Lady, there was more evidence before the court. Of course. Of course. I'm assuming that district Judge Brass did not capriciously change his mind. Of course not. But that still doesn't answer the question. The normal route where it would be an appeal, permission to adduce fresh evidence, and an order for a retrial."
p1,00:10:08.780,00:10:09.210,spk_0,"I agree, My Lady."
p1,00:10:09.620,00:10:13.700,spk_1,That would be the normal route for doing it. And I merely ask why on earth it was done this way?
p1,00:10:13.700,00:10:26.140,spk_0,"I don't know. I was instructed at that stage. It has been, It has been a matter of a further appeal to the Court of Appeal. But in the event those findings still stand. And that is a factual basis. Of course, that colours everything happened since."
p1,00:10:26.740,00:10:29.070,spk_3,When were the divorce proceedings completed?
p1,00:10:29.220,00:10:31.450,spk_0,"2002 -- ah, completed?"
p1,00:10:32.240,00:10:34.160,spk_2,"Um, I don't have a date for that."
p1,00:10:34.940,00:10:35.970,spk_0,We'll check that.
p1,00:10:36.060,00:10:38.720,spk_2,"Separation, you said 2002?"
p1,00:10:38.730,00:10:51.260,spk_0,"2002. Not sure we've got the decree absolute. In 2003, my Lord, but I will find the precise date after the short adjournment. I'm sorry."
p1,00:10:52.180,00:10:52.860,spk_2,
p1,00:10:54.040,00:11:17.270,spk_0,"So, having made those further findings in December 2002, the care proceedings proceeded to a welfare hearing, as it's known, and the final hearing, that second stage of care proceedings took place on the 22nd of May. And on that occasion, the judge made a residence order in favour of the father."
p1,00:11:17.360,00:11:18.830,spk_2,We're in 2003 now?
p1,00:11:18.840,00:11:36.040,spk_0,"Yes, May 2003. In my statement of facts on page two, paragraph three. He made a residence order in favour of the father, a supervision order in favour of the local authority for 12 months and a contact order in favour of the mother."
p1,00:11:37.340,00:11:40.250,spk_2,Is this a Section 8 application at this stage?
p1,00:11:40.940,00:11:46.900,spk_0,At that stage? No. At this stage? Yes. Now it is.
