session,start,end,speaker,text
p1,00:00:29.040,00:00:31.310,spk_0,hearing the appeal Tomlinson and others
p1,00:00:31.320,00:00:31.890,spk_1,against
p1,00:00:31.900,00:00:33.360,spk_0,Birmingham City Council.
p1,00:00:34.240,00:00:35.800,spk_2,"Okay. Yes, Mr Goudie,"
p1,00:00:37.340,00:01:43.400,spk_1,"Ultimately, this is in the field for all of entitlements. Which I appear with my learned friend Mr Zia Nabi two unintentionally homeless families in priority need and are learning friends, Mr Andrew Arden, Queen's counsel, and Mr Christopher Baker now appear for the local housing authority the city of Birmingham. Our learned friend Natalie Lieven Queen's counsel appears for the Secretary of State as intervener. Lords and my Lady, I should inform the court at the outset by way of update that Mrs Ibrahim has left her temporary accommodation and has not recently been in touch with either my instructing solicitor or the Legal Services Commission. We therefore do not have instructions and we do not know her current whereabouts. She and her 6 children may very well still be homeless. The one can put it now higher than that. The Legal Services Commission for their purposes is content for the appeal to proceed on her behalf as well as on behalf of Mrs Ali. They having been appraised of the circumstances."
p1,00:01:43.410,00:01:46.260,spk_2,It is a live issue In Ms Ali's
p1,00:01:46.270,00:01:47.360,spk_1,case. You
p1,00:01:47.360,00:01:48.850,spk_2,have instructions in the case.
p1,00:01:48.860,00:02:57.890,spk_1,"Indeed. Thank you. Yes, My Lords and my Lady. The starting point in this appeal is 7 short uncontroversial propositions. First, the appellants had an entitlement to accommodation. Their circumstances were such that the Housing Act required the authority to secure accommodation for them. Uh, secondly, that entitlement under the Housing Act existed until either accommodation was secured or an event occurred upon which the duty would cease. Thirdly, an officer of the councillors ruled that the duty and the entitlement have come to an end. Fourthly, that withdrawal of entitlement was upheld, a fraction slower. I'm sorry. The officers ruled the entitlement-- the duty and the entitlement had come to an end. Fourthly, that withdrawal of entitlement was upheld on review by another officer of the same authority."
p1,00:02:57.900,00:03:00.300,spk_2,"A senior officer, a more senior officer,"
p1,00:03:00.330,00:03:10.160,spk_1,a more senior officer and with a different a different role. But an officer employed by the same housing authority in the same department.
p1,00:03:10.740,00:03:11.060,spk_0,That's right.
p1,00:03:14.240,00:04:03.760,spk_1,"And, fifthly, that second officer was not an independent and impartial tribunal not being independent at all. Sixthly, And in our submission of particular importance on these appeals, the decisions that both council officers made was one exclusively of primary fact whether a particular letter had or had not been received. So a decision not involving either specialist expertise or policy considerations and in those respects, wholly unlike a question that also arises under the same part of the same Housing Act, such as whether particular accommodation is suitable."
p1,00:04:06.240,00:05:53.100,spk_0,"But what about all the other factual issues that arise under part 7? This happens to be a particularly bizarre factual dispute about the arrival or non arrival of particular letters. Um, but there's a whole spectrum of decisions that have to be taken under part 7 that begin with that, which is a stark issue of did she, or did she not get to the letter? To Did she or did she not have accommodation available? What was accommodation? What was available? Did she or did she not leave it in circumstances where she could reasonably be expected to continue to stay there? Other other sorts of factual situations. Was she or was she not in fear of domestic violence? All of these sorts of things, there's a spectrum that starts with the very stark either or question goes through a lot of other questions that are basically factual questions. Not a lot of expertise required, but factual questions in those homelessness decision to the rather more evaluative question, which is this suitable accommodation? Um, and of course, their evaluations involved. Was this reasonable? Was it reasonable for her to continue to occupy, bearing in mind the housing conditions locally? All of those sorts of things all I'm getting at is that we've been presented with this stark, simple factual issue, and that's all you're focusing on for reasons forensically, I completely understand. But the problem before us really has to be a wider one than that, doesn't it?"
