Judgement	Transcription	Linked	Comments
1	p1,01:07:51.530,01:09:03.400,spk_0,	True	Counsel: We've looked at already needed to be considered that on that basis, we submitted that the court had part, that there was a power of prorogation under Article 12 (3) that extended to all children in theory, wherever they are, wasn't confined to a sort of European ambit. That the requirements for interrogation in Article 12 were satisfied and we, and we also in our written case, although this wasn't developed an oral argument. We argued that following the decision of the European Court in the Owusu case, the principle of forum non conveniens did not apply in cases where the jurisdiction was based on Brussel's regulations. Alternatively, of course, we relied on Judge Banett's findings that this was the convenient forum. The Court of Appeal didn't go on to consider forum non conveniens because they determined that the court did not have jurisdiction.
1	p2,01:11:14.660,01:12:29.440,Appellant ,	False	
1	p3,00:13:53.140,00:14:18.620,spk_0,	False	
1	p1,01:36:24.230,01:37:08.640,spk_0,	True	Counsel: Yes, that's right. The first question to be considered under Article 12 is whether the power to prorogue jurisdiction extends to children who are habitually resident in a state that is not a member state of the EU. The rationale for Article 12 is to provide an exception to the general rule. The jurisdiction matters of PR has converged on the member state of the child's habitual residence. Article 12, as well already identified provides two powers of propagation in matters of parental possibility. One in matrimonial, the other in non matrimonial proceedings. This case concerns a non matrimonial case.
1	p4,01:30:33.960,01:30:52.710,spk_0,	False	
1	p1,01:41:12.310,01:43:25.140,spk_0,	True	Counsel: No, it's not. But the point is that I succeed to make is that in those circumstances, under Article 3, there is an express reference to habitual residents. So where the child is not habitually resident in the member state, the court of that state shall have jurisdiction in such matters. If the child habitual resident in one of the member states and the test is satisfied, police are satisfied. Contrast Article 12, which of course, is headed prorogation, The courts of a member state exercising jurisdiction in divorce proceedings shall have jurisdiction in relation any matter where any parents really connected with that application, where and then the hurdles are inserted. So there is no reference, no restriction there to children who are habitually resident in one of the member states. [Pause]. And in our submission, there's no justification for reading into Article 12 (1). Or more importantly, for this case, Article 12 (3). The phrase in respect of a child who is habitually resident in a member state. I think this is a rhetorical point. If the authors had intended to limit the scope of the jurisdictional rules to cases where the trial was a fixture at the member state, given that they said so now in Brussels II we submit they surely would have done in Brussels II revised. The Court: Another way of putting that is that the commission must be presumed to be deliberate. Counsel: Yes, My Lord, and that first point --
1	p1,01:56:27.930,01:57:00.690,spk_0,	True	Counsel: Bottom of page 45 describing Article 12 (4) as described in Chapter two, Article 12 of regulation introduces a limited propagation option for a party to choose to seize a court of a member state in which the child is not habitually resident but with which the child is nevertheless a substantial connection. This option is not limited to situations where the child is habitually resident within the territory of a member state. But it applies also where the habitual residence of the child is in a third state that is not a contracting party to the 1996 Hague Convention.
1	p1,01:09:45.970,01:12:35.380,spk_0,	True	Counsel: On page 9 of the statement of issues I outlined the issues. These are these are agreed, although I will just mention this Brussel. But I remember agreement from her document. Obviously, we have a very quickly to get this this document. Broadly speaking, these are the issues that are raised before you. There are we raised the issues and we I put before the court we put before the court the issues under three headings the primacy of the Brussels II revised provision of jurisdiction, the scope and application of the provisions of Article 12 for Brussels II revised interrogation and the application of the doctrine of forum non conveniens. Now taking those in turn, I'm on page nine of my statement of facts document paragraph two. The first issue we raises is the primacy of the Brussels II revised provisions. That is not controversial as between the parties representatives before you. As you will see from Miss Russell's document, she accepts on behalf of her client our submissions to the privacy of the Brussels II revised provisions. But I will spend a little, not long, a little time just to lining our argument about that in due course, because of what follows from it. Secondly, we identify a number of matters arising under Article 12 free itself. And this is at the heart of the case. Paragraph 4. The first we mentioned the meaning of habitually resident. Now that point, strictly speaking, doesn't arise in this case because all parties are agreed. But whatever test is applied, Q is habitually resident in Pakistan and his parents are habitually resident in this country. Yeah, we, in other words, we're not seeking to float what would be a highly optimistic argument, that Q had retained to have had two official residences. We say the factual position is clear. However, we and it will be Mr Devereux who will be developing these arguments if called on by the court. We invite the court to consider whether it would be helpful and appropriate to consider issues of habitual residence and that arise in Brussel's law as it currently is.
1	p4,00:05:02.040,00:05:17.710,spk_3,	False	
1	p2,01:06:55.150,01:07:09.570,Judge,	False	
1	p2,01:48:24.180,01:49:31.430,Respondent ,	False	
1	p2,00:06:51.280,00:07:49.450,Appellant ,	False	
1	p2,01:26:39.880,01:26:42.690,Appellant ,	False	
1	p1,01:09:05.020,01:09:40.529,spk_0,	True	Counsel: The court rejected the submission that the prorogation powers under Article 12 (3) provisions extended to Children who were habitually resident outside the EU. The court held any event we didn't satisfy the hurdles for prorogation under Article 12 (3) and dismissed the appeal. Hence our appeal to this court and the -- that's all I propose to say about the facts or history of the case. At this stage, there may be other matters which we need to look at it.
1	p1,01:37:11.450,01:38:39.850,spk_0,	True	Counsel: The first issue arising is whether that power is confined as his contended on behalf of the father, to children who are habitually resident within the EU or extends to all children. As we contend. If that construction is correct, jurisdiction could be paraded to cover. Q. Provided the criteria Article 12 for you are satisfied before I turn to the question of third State. Could I just invite the court to look at Article 12 (3) and its predecessor. Article 12 (3), which you have open in front of you, reads, well, the first part of it reads, The courts of a member state should also have jurisdiction in relation to proceedings other than those referred to in paragraph 1. Now its predecessor was -- I realised I've also not in the course of the argument gone through the history of the Brussels regulations that is set out in full in my document, I assume, might even know that. 
1	p4,00:55:21.360,00:56:51.150,spk_1,	False	
1	p2,00:19:48.640,00:21:06.960,Appellant ,	True	Counsel: Article 12 (3) of Brussels II Revised specifies three criteria for the prorogation of jurisdiction by courts of a Member State in matters of responsibility over a child, all of which have to be satisfied, namely, one, that the child has a substantial connection with that Member State. Article 12 (3) (a). Two that the jurisdiction of the court has been accepted expressly or otherwise, in an unequivocal manner by all the parties to the proceedings at the time the court is seized. Article 12 (3) (b). And three, the jurisdictions in the best interests of the child. Article 12 (3) (b) again. Now as far as the first criterion is concerned, Article 12 (3) (a), that is manifestly satisfied, and this is not contentious because under Article 12 (3) (a) itself specifically provides that a substantial connection will be established, in particular, by virtue of the fact that one of the holders of parental responsibility is habitually resident in that Member State or the child is a national of that Member State. In this case, both of those exemplar conditions are satisfied and consequently, as agreed by all parties, the child has a substantial connection with this country.
1	p3,01:56:30.890,01:56:47.850,spk_0,	False	
1	p3,00:27:59.680,00:30:29.540,spk_0,	True	Counsel: It seems, if I can elaborate what I'm saying at the moment, my Lord, I think it might explain what I'm trying to say about the incongruity of Article 12 being the only situation in which it would be considered apposite for parents to choose jurisdiction even if the child is not living within that jurisdiction and that is that part of the raison d'etre behind the regulation is the enforcement of judgments and the recognition of judgments. And if parents choose to deal with a country, whatever the country is be it Pakistan, be it United States of America, be it the Ukraine where the child lives, be it Jamaica. One can think of many countries that have very close connections with this country where children quite often live long term with extended family members, either after public law proceedings or within private law proceedings. And the parents choose this country or another country within the United -- Within the European Union to be the jurisdiction to hear the case, when it's patently obvious that the other court may not neither recognise the judgement nor enforce it. And how that supports the generality and the specific desire of this aim, I think is the proper term of the regulation, which is also set out in the guidance, it's hard to explain and I think is incongruent, because even if enforcement is not the main priority, it's certainly a priority, and for parents to be able to choose not to have a case heard where their child is living and nothing can be done about the result, whatever the result is, even if it's the right result in inverted commas, seems to be totally outside the aims of this regulation. And I'd ask you if you would --
