Judgement	Transcription	Linked	Comments
1	p3,02:28:36.670,02:29:34.780,spk_2,	True	Counsel: it appears to me that the requirement that a court or tribunal should have full jurisdiction cannot be mechanically applied, with the result that in all circumstances and whatever the subject matter of the dispute, the court or tribunal must have full power to substitute its own findings of fact and its own inferences from those facts for that of the administrative authority concerned. Whether the power of judicial review is sufficiently wide to satisfy the requirements of Article six must, in my view, depend on a number of considerations, including the subject matter of the dispute, the nature of the decision of the administrative authorities, which is in question the procedure, if any, which exists for review of the decision by a personal body acting independently of the authority concerned and the scope of that power of review. In my view, the powers of review of the High Court, when combined with the statutory arrangements under the 1990 Act for appealing against an enforcement notice, satisfy the requirements of Article 61, and it's that passage which then finds its way into the court judgement at paragraph 45.
1	p1,00:16:28.110,00:16:46.470,spk_1,	False	
1	p4,00:22:57.360,00:24:42.540,spk_1,	True	Counsel: When Your Ladyship applied for an extension. Yes. Yes. But I think in a judicial capacity, it's not something that the administrative Court would thank this court for. The point I make is that this argument goes, well, well beyond Part 7 of the Housing Act and could be replicated across the field of public law where the law has been settled since Alconbury. Those are not decisions that need a full fact-finding jurisdiction. Then the final point I'd like to make before I come to Tsfayo is just to stress the point that Mr Arden made, which is that it is necessary for this court to look at the scheme as a whole and not to focus down holy on the individual dispute. And the authority for that is, of course, Wright in the House of Lords and the speech of Lady Hale. And I do rely on that because effectively, the government lost in right because rather than looking at the individual facts and whether there was a breach of Article 6 or a breach of Article 8 on the individual facts, the approach of the House of Lords was to say no, you've got to look at the scheme and if you look at the scheme, it's not compatible. Well, if that applied in right against the government, it must apply here in our favour, in terms of looking not at one factual dispute buried within 1935 but at the nature of the scheme as a whole. So I come then to whether or not Tsfayo and Crompton force this court to depart from Begum and the settled position. And I am, I'm afraid, going to ask you to go back to Tsfayo and to the key.
1	p1,00:26:01.500,00:27:03.020,spk_1,	True	Counsel: Then the authority may notify him that they regard themselves as having discharge their duty under this section. The local authority subsection 6 will cease to be subject to the duty under this section. If the applicant ceases to be eligible, becomes homeless, intentionally accepts an offer of accommodation under part 6, or accepts an offer of an assured tenancy or otherwise voluntarily ceases to occupy as his only or principle home. The accommodation made available for his occupation. The authorities should also cease to be subject to the duty under this section if the applicant, having been informed of the possible consequences, refusal and it is right to request the review of the suitability of the accommodation refuses a final offer of accommodation. Under part 6, an offer of accommodation under part 6 is a final offer for the purposes of subsection seven if it's made in writing and states that it is a final offer for the purposes of subsection at 7.
1	p2,00:01:11.740,00:01:55.200,spk_0,	True	Counsel: On the one hand it is made by officers of the authority or, on the other hand, is made by members of the authority we submit, that's not a relevant difference for two reasons. First, officers no doubt, are in practise every bit as much committed to the authority's interests, including the authorities financial interests as members of the authority are. Secondly, homelessness reviews can be considered by a panel of members rather than by an individual officer. The court has seen subsection four of Section 202 of the act that on a request for review being made, the authority shall
1	p1,00:22:01.990,00:25:59.830,spk_1,	True	Court: Part 7? Counsel: Uh, Section 17(5) defines homelessness and threatened homelessness. Uh, Section 176. The meaning of accommodation available for occupation and section 177 deals with whether it's reasonable to continue to occupy accommodation. I think I could go a number of pages forward to page 20 of the extract, a group of sections dealing with applications for assistance in case of homelessness or threatened homelessness. Section 183, the application following provisions of this part apply where a person applies to a local housing authority for accommodation for assistance in explaining it, and the authorities have reason to believe that he is or may be homeless or threatened with homelessness. Section 184 then relates to the inquiry to be made. If there is that reason to believe, then the authorities shall make such enquiries as necessary to satisfy themselves. Firstly, whether he is eligible for assistance and secondly, if so, whether any duty and if so, what duty is owed to him under the following provisions of this part. And then, there's a notification requirement of the outcome and reasons in subsection 3. And then, section 188 at the bottom of page 25 there is an interim duty to accommodate in case of apparent priority need. Section 189 relates to priority needs. The various categories, including it'll be a person with whom dependent children reside or might reasonably be expected to reside covers both present cases and then dealing with the post inquiry situation. The post Interim situation from Section 19 onwards the duties to the person is found to be homeless or threatened with homelessness. First of all, in section one, I know the duty to persons becoming homeless intentionally. So not our case and section 19(1) begin deals with becoming homeless intentionally in section 19(2) duty to persons not in priority need who are not homeless intentionally again not our case, and then section 19(3) is our case - duty to persons with priority need who are not homeless intentionally. This section applies where the authorities are satisfied that an applicant is homeless eligible for assistance has a priority need and they're not satisfied that he became homeless intentionally unless the authority refer the application to another local housing authority doesn't arise here. They shall ensure that accommodation is available for occupation by the applicant. That in our submission is the key provisions they shall secure that accommodation is available for occupation by the applicant and then subsection three The authority are subject to the duty under this section until it ceases by virtue of any of the following provisions of this section and subsection five. The local authorities shall cease to be subject to the duty under the section if the applicant this having been informed by the authority of the possible consequence of refusal and it is right to request a review of the suitability of the accommodation. Secondly, refuses an offer of accommodation. And thirdly, that's an offer of accommodation which the authorities are satisfied is suitable.
1	p1,01:10:09.430,01:13:18.070,spk_1,	True	Counsel: My Lord, it is, of course, an important feature of the statutory scheme that someone who is in priority need and not homeless intentionally, and who is entitled to accommodation, doesn't lose that accommodation because they decline a particular offer of accommodation which they don't regard as being suitable, unless it has, in terms, been drawn to their attention that they will lose the right. So it is important, whether or not a letter of this kind is received. And more generally, Part 7 of the Act relating to duties, the homeless and their entitlements, is very different from Part 6 relating to the regulation of schemes for the allocation of housing and not giving anyone a right to accommodation. My Lord, is it, um, said in this respect, Part 7 of the Housing Act is similar to Section 20, subsection 1 of the 1989 Children Act. Then I respond, "Yes, in many ways it is. And that assists me in that if who is a child is a question of precedent or jurisdictional fact on the construction of the Children's Act. That one has, of course, to look at the construction in our case of the Housing Act. And what, as this court has seen, is in terms of Section 193, subsection 5, there are two gateway questions of fact. The first gateway question of fact is whether the applicant was informed of the possible consequences of refusal and the right to review. If so, the second gateway question of fact is, did the applicant refuse the accommodation? And then, if both those facts are established, one has the further question, not a question of fact arising, the Runa Begum question, whether the authority is satisfied that the accommodation was suitable. So, if and insofar as the authority is relying on Section 193, subsection 5, there are two gateway questions of fact. And then the suitability issue. If they're relying on Section 193, subsection 7, then that is exclusively a question of fact. And my Lord, what we say is that these gateway questions of fact or exclusive questions of fact are eminently questions for a court, either as precedent questions or subsequent questions upon review for appeal.
1	p4,01:11:00.870,01:13:50.430,spk_2,	True	Counsel: Fact that the duty may be discharged in different ways, provided always that it is discharged, that does not detract from the right and you do not need a judgement in your favour in order to have achieved the right. A right pursuant to statute is as much a civil right as a right pursuant to a judgement. If statutory rights exist, they do so whether or not a court has declared that they exist or if they've been denied, a mandatory order has been made with respect to them. A court order is not necessary in order for civil rights to crystallise and were the position otherwise, it would be somewhat fortuitous and arbitrary. And the identification of a particular property is not an ingredient of the existence of the right. The right to have accommodation provided or secured for one is itself a discreet right. It's not emasculated as such on account of separate questions that may arise in relation either to the performance of the duty or to the cessation of the duty. And the Part 7, Section 193, Subsection 2 right indeed contrasts in that respect with the non-rights under Part 6 of the same act. And the Part 7 Housing Act scheme, homelessness scheme, is moreover, similar to, rather than different from, cash benefits in having evaluative elements. Of course, if contrary to our submissions, one is looking at the scheme as a whole, then one can indeed point to evaluative elements in the homelessness scheme. But so, too, the housing benefit and other cash benefit schemes contain evaluative elements. By way of example only, housing benefit evaluation includes, considering whether there is a sham arrangement, whether there has been a deliberate deprivation of capital, and evaluation which compares rather with intentionality in the homeless scheme. And I think the one bundle the court hasn't looked at so far is Volume 2, which is
1	p4,00:09:41.740,00:12:40.640,spk_1,	True	Counsel: The local authority, Housing Authority, shall cease to be subject to the duty under this section if the applicant, having been informed by the authority of the possible consequence of refusal and of his right to request a review of the suitability of the accommodation, refuses an offer of accommodation which the authority is satisfied is suitable for him, and the authority notifies him that they regard themselves as having discharged their duty under this section. Now, the first point to make is an obvious one. Unlike Section 20 of the Children Act, Section 193(5) doesn't distinguish between different limbs that might be said, within Article 6 terms, to be discreet questions of fact. You can see that even within Section 193(5), there are certain things that might be argued by lawyers to be discreet. Have you been informed? Did you get the letter? Have you been informed of the possible consequence of refusal? Now, is that a discreet fact? Or is that a judgment? In other words, that becomes: was the letter good enough? So you got the letter, that's not in dispute. But you say that this letter didn't tell me about the possible consequence of refusal. This letter missed the point. So, is that a discreet question of fact? And then, very similarly, of his right to request a review of the suitability, was that sufficiently clear? And then the next bit is if the applicant refuses an offer of accommodation, well, you can see that that could be analysed as a question of fact. Did your letter back refuse the offer, or was it more equivocal? One can see, in particular cases that might arise, and then which the authority is satisfied is suitable for him. Well again, that could be: Did you get the letter? But it could also be questions within the letter as to whether it was clear or not. So, my Lord, in my submission, attempts to try to divide off one particular factual, inverted commas, issue only is going to give rise to a domino effect of other potential factual issues that could be argued to be discreet or in a non-domestic sense conditions precedent. So, in my submission, the statutory scheme, statutory words do not at all support an analysis that there are discrete questions of fact which can be wholly divorced from the rest of the Part 7 decision.
1	p3,02:13:30.150,02:14:54.160,spk_2,	False	
